,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
40219,14,2019-01-02,14,Casaco Liso,2,255,510,Bourbon Shopping SP
40220,99,2019-01-02,14,Sapato Xadrez,2,368,736,Bourbon Shopping SP
40221,99,2019-01-02,14,Short Liso,5,108,540,Bourbon Shopping SP
40222,99,2019-01-02,14,Cinto Listrado,4,214,856,Bourbon Shopping SP
40223,110,2019-01-02,14,Polo Estampa,2,138,276,Bourbon Shopping SP
40224,246,2019-01-03,14,Tênis Estampa,2,256,512,Bourbon Shopping SP
40225,257,2019-01-03,14,Chinelo,3,60,180,Bourbon Shopping SP
40226,257,2019-01-03,14,Pulseira Liso,5,87,435,Bourbon Shopping SP
40227,257,2019-01-03,14,Casaco Xadrez,2,259,518,Bourbon Shopping SP
40228,264,2019-01-03,14,Cueca Estampa,1,66,66,Bourbon Shopping SP
40229,264,2019-01-03,14,Camiseta Xadrez,1,200,200,Bourbon Shopping SP
40230,280,2019-01-03,14,Chinelo Liso,1,71,71,Bourbon Shopping SP
40231,280,2019-01-03,14,Relógio Xadrez,1,214,214,Bourbon Shopping SP
40232,281,2019-01-03,14,Camisa Gola V Xadrez,1,107,107,Bourbon Shopping SP
40233,286,2019-01-03,14,Terno Linho,3,750,2250,Bourbon Shopping SP
40234,286,2019-01-03,14,Camiseta Liso,2,187,374,Bourbon Shopping SP
40235,286,2019-01-03,14,Bermuda Liso,1,157,157,Bourbon Shopping SP
40236,293,2019-01-03,14,Camisa Linho,2,141,282,Bourbon Shopping SP
40237,293,2019-01-03,14,Camiseta Liso,1,187,187,Bourbon Shopping SP
40238,298,2019-01-03,14,Cueca Estampa,4,66,264,Bourbon Shopping SP
40239,396,2019-01-04,14,Camisa Gola V,2,100,200,Bourbon Shopping SP
40240,396,2019-01-04,14,Relógio Listrado,2,218,436,Bourbon Shopping SP
40241,396,2019-01-04,14,Casaco,1,250,250,Bourbon Shopping SP
40242,437,2019-01-04,14,Meia Listrado,1,37,37,Bourbon Shopping SP
40243,462,2019-01-04,14,Tênis,1,250,250,Bourbon Shopping SP
40244,491,2019-01-04,14,Short Linho,2,133,266,Bourbon Shopping SP
40245,535,2019-01-04,14,Gorro Estampa,2,93,186,Bourbon Shopping SP
40246,567,2019-01-04,14,Gorro Xadrez,1,85,85,Bourbon Shopping SP
