,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
52258,23,2019-01-02,17,Bermuda Estampa,3,169,507,Center Shopping Uberlândia
52259,23,2019-01-02,17,Chinelo Liso,3,71,213,Center Shopping Uberlândia
52260,65,2019-01-02,17,Gorro Listrado,1,97,97,Center Shopping Uberlândia
52261,65,2019-01-02,17,Gorro Xadrez,1,85,85,Center Shopping Uberlândia
52262,80,2019-01-02,17,Meia Linho,3,78,234,Center Shopping Uberlândia
52263,80,2019-01-02,17,Meia Linho,3,78,234,Center Shopping Uberlândia
52264,139,2019-01-02,17,Camisa Gola V Listrado,5,116,580,Center Shopping Uberlândia
52265,139,2019-01-02,17,Casaco Linho,2,299,598,Center Shopping Uberlândia
52266,221,2019-01-03,17,Camisa Gola V Linho,1,145,145,Center Shopping Uberlândia
52267,221,2019-01-03,17,Short Listrado,1,102,102,Center Shopping Uberlândia
52268,221,2019-01-03,17,Chinelo Linho,2,105,210,Center Shopping Uberlândia
52269,240,2019-01-03,17,Gorro Listrado,3,97,291,Center Shopping Uberlândia
52270,270,2019-01-03,17,Terno Linho,3,750,2250,Center Shopping Uberlândia
52271,270,2019-01-03,17,Meia Listrado,5,37,185,Center Shopping Uberlândia
52272,276,2019-01-03,17,Cueca,1,50,50,Center Shopping Uberlândia
52273,276,2019-01-03,17,Gorro Listrado,3,97,291,Center Shopping Uberlândia
52274,353,2019-01-03,17,Pulseira Linho,2,114,228,Center Shopping Uberlândia
52275,353,2019-01-03,17,Sunga Listrado,2,114,228,Center Shopping Uberlândia
52276,379,2019-01-03,17,Camisa Listrado,3,108,324,Center Shopping Uberlândia
52277,379,2019-01-03,17,Camiseta,4,180,720,Center Shopping Uberlândia
52278,418,2019-01-04,17,Bermuda Estampa,1,169,169,Center Shopping Uberlândia
52279,424,2019-01-04,17,Tênis Linho,3,294,882,Center Shopping Uberlândia
52280,424,2019-01-04,17,Calça,1,170,170,Center Shopping Uberlândia
52281,440,2019-01-04,17,Cinto Linho,2,248,496,Center Shopping Uberlândia
52282,440,2019-01-04,17,Casaco Xadrez,1,259,259,Center Shopping Uberlândia
52283,444,2019-01-04,17,Bermuda Xadrez,1,155,155,Center Shopping Uberlândia
52284,513,2019-01-04,17,Sapato Listrado,4,363,1452,Center Shopping Uberlândia
52285,540,2019-01-04,17,Cueca Listrado,1,67,67,Center Shopping Uberlândia
52286,595,2019-01-05,17,Mochila Linho,2,311,622,Center Shopping Uberlândia
52287,603,2019-01-05,17,Mochila,2,270,540,Center Shopping Uberlândia
52288,605,2019-01-05,17,Tênis Liso,3,266,798,Center Shopping Uberlândia
52289,605,2019-01-05,17,Camiseta Liso,4,187,748,Center Shopping Uberlândia
52290,635,2019-01-05,17,Relógio Xadrez,2,214,428,Center Shopping Uberlândia
52291,635,2019-01-05,17,Relógio Listrado,1,218,218,Center Shopping Uberlândia
52292,643,2019-01-05,17,Chinelo,3,60,180,Center Shopping Uberlândia
52293,663,2019-01-05,17,Tênis Xadrez,2,259,518,Center Shopping Uberlândia
52294,663,2019-01-05,17,Chinelo Estampa,1,74,74,Center Shopping Uberlândia
52295,728,2019-01-05,17,Relógio Linho,1,240,240,Center Shopping Uberlândia
52296,728,2019-01-05,17,Meia Xadrez,1,41,41,Center Shopping Uberlândia
52297,728,2019-01-05,17,Terno Estampa,3,706,2118,Center Shopping Uberlândia
52298,745,2019-01-05,17,Camiseta,2,180,360,Center Shopping Uberlândia
52299,754,2019-01-06,17,Mochila Liso,1,276,276,Center Shopping Uberlândia
52300,754,2019-01-06,17,Bermuda Estampa,4,169,676,Center Shopping Uberlândia
52301,773,2019-01-06,17,Polo Estampa,2,138,276,Center Shopping Uberlândia
52302,831,2019-01-06,17,Short,5,90,450,Center Shopping Uberlândia
52303,831,2019-01-06,17,Casaco Xadrez,1,259,259,Center Shopping Uberlândia
52304,831,2019-01-06,17,Gorro Xadrez,2,85,170,Center Shopping Uberlândia
52305,833,2019-01-06,17,Camiseta,2,180,360,Center Shopping Uberlândia
52306,833,2019-01-06,17,Terno Estampa,2,706,1412,Center Shopping Uberlândia
52307,839,2019-01-06,17,Bermuda Listrado,3,163,489,Center Shopping Uberlândia
52308,839,2019-01-06,17,Meia Listrado,2,37,74,Center Shopping Uberlândia
52309,839,2019-01-06,17,Tênis Estampa,1,256,256,Center Shopping Uberlândia
52310,846,2019-01-06,17,Meia Estampa,4,50,200,Center Shopping Uberlândia
52311,883,2019-01-06,17,Camisa Gola V Liso,1,118,118,Center Shopping Uberlândia
52312,929,2019-01-06,17,Mochila Liso,3,276,828,Center Shopping Uberlândia
52313,929,2019-01-06,17,Bermuda Estampa,1,169,169,Center Shopping Uberlândia
52314,937,2019-01-07,17,Calça Liso,1,190,190,Center Shopping Uberlândia
52315,937,2019-01-07,17,Sapato Linho,1,391,391,Center Shopping Uberlândia
52316,937,2019-01-07,17,Cinto Estampa,1,209,209,Center Shopping Uberlândia
52317,952,2019-01-07,17,Bermuda Linho,4,195,780,Center Shopping Uberlândia
52318,999,2019-01-07,17,Terno Xadrez,3,709,2127,Center Shopping Uberlândia
52319,1083,2019-01-07,17,Camisa Gola V Xadrez,2,107,214,Center Shopping Uberlândia
52320,1162,2019-01-08,17,Mochila Estampa,3,277,831,Center Shopping Uberlândia
52321,1162,2019-01-08,17,Tênis,2,250,500,Center Shopping Uberlândia
52322,1177,2019-01-08,17,Gorro Liso,1,92,92,Center Shopping Uberlândia
52323,1186,2019-01-08,17,Camisa Gola V Linho,2,145,290,Center Shopping Uberlândia
52324,1230,2019-01-08,17,Mochila Estampa,5,277,1385,Center Shopping Uberlândia
52325,1279,2019-01-08,17,Bermuda Linho,2,195,390,Center Shopping Uberlândia
52326,1330,2019-01-09,17,Chinelo,5,60,300,Center Shopping Uberlândia
52327,1332,2019-01-09,17,Mochila,2,270,540,Center Shopping Uberlândia
52328,1332,2019-01-09,17,Relógio Liso,1,216,216,Center Shopping Uberlândia
52329,1357,2019-01-09,17,Tênis Listrado,3,262,786,Center Shopping Uberlândia
52330,1357,2019-01-09,17,Camisa Gola V Linho,3,145,435,Center Shopping Uberlândia
52331,1363,2019-01-09,17,Cueca Xadrez,4,60,240,Center Shopping Uberlândia
52332,1363,2019-01-09,17,Pulseira Listrado,2,79,158,Center Shopping Uberlândia
52333,1369,2019-01-09,17,Chinelo Liso,2,71,142,Center Shopping Uberlândia
52334,1369,2019-01-09,17,Terno Listrado,1,709,709,Center Shopping Uberlândia
52335,1410,2019-01-09,17,Calça Listrado,2,181,362,Center Shopping Uberlândia
52336,1420,2019-01-09,17,Cueca Estampa,3,66,198,Center Shopping Uberlândia
52337,1420,2019-01-09,17,Bermuda Listrado,5,163,815,Center Shopping Uberlândia
52338,1421,2019-01-09,17,Sapato Liso,3,368,1104,Center Shopping Uberlândia
52339,1483,2019-01-09,17,Short Estampa,4,96,384,Center Shopping Uberlândia
52340,1483,2019-01-09,17,Relógio Xadrez,1,214,214,Center Shopping Uberlândia
52341,1483,2019-01-09,17,Polo,2,130,260,Center Shopping Uberlândia
