,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
20290,8,2019-01-02,24,Terno Estampa,5,706,3530,Iguatemi Campinas
20291,17,2019-01-02,24,Chinelo Liso,1,71,71,Iguatemi Campinas
20292,143,2019-01-02,24,Pulseira,3,70,210,Iguatemi Campinas
20293,166,2019-01-02,24,Cinto Xadrez,1,215,215,Iguatemi Campinas
20294,176,2019-01-02,24,Cinto Listrado,1,214,214,Iguatemi Campinas
20295,205,2019-01-02,24,Sapato Xadrez,2,368,736,Iguatemi Campinas
20296,205,2019-01-02,24,Terno Listrado,3,709,2127,Iguatemi Campinas
20297,205,2019-01-02,24,Meia Linho,1,78,78,Iguatemi Campinas
20298,273,2019-01-03,24,Pulseira Linho,1,114,114,Iguatemi Campinas
20299,331,2019-01-03,24,Chinelo,1,60,60,Iguatemi Campinas
20300,361,2019-01-03,24,Sapato Estampa,4,358,1432,Iguatemi Campinas
20301,393,2019-01-04,24,Camiseta Estampa,1,196,196,Iguatemi Campinas
20302,393,2019-01-04,24,Casaco Liso,1,255,255,Iguatemi Campinas
20303,398,2019-01-04,24,Cueca Linho,1,93,93,Iguatemi Campinas
20304,398,2019-01-04,24,Gorro Liso,2,92,184,Iguatemi Campinas
20305,398,2019-01-04,24,Polo Xadrez,1,142,142,Iguatemi Campinas
20306,408,2019-01-04,24,Bermuda Estampa,1,169,169,Iguatemi Campinas
20307,408,2019-01-04,24,Chinelo Estampa,2,74,148,Iguatemi Campinas
20308,408,2019-01-04,24,Chinelo Estampa,5,74,370,Iguatemi Campinas
20309,408,2019-01-04,24,Cinto Listrado,3,214,642,Iguatemi Campinas
20310,408,2019-01-04,24,Short Linho,2,133,266,Iguatemi Campinas
20311,429,2019-01-04,24,Casaco Listrado,1,269,269,Iguatemi Campinas
20312,429,2019-01-04,24,Polo Estampa,2,138,276,Iguatemi Campinas
20313,475,2019-01-04,24,Tênis Estampa,1,256,256,Iguatemi Campinas
20314,501,2019-01-04,24,Mochila,1,270,270,Iguatemi Campinas
20315,501,2019-01-04,24,Cinto Estampa,2,209,418,Iguatemi Campinas
20316,548,2019-01-04,24,Pulseira Liso,1,87,87,Iguatemi Campinas
20317,548,2019-01-04,24,Terno Xadrez,1,709,709,Iguatemi Campinas
20318,633,2019-01-05,24,Camisa Listrado,1,108,108,Iguatemi Campinas
20319,633,2019-01-05,24,Bermuda Liso,1,157,157,Iguatemi Campinas
20320,704,2019-01-05,24,Chinelo,4,60,240,Iguatemi Campinas
20321,704,2019-01-05,24,Pulseira Listrado,1,79,79,Iguatemi Campinas
20322,715,2019-01-05,24,Camisa Estampa,2,113,226,Iguatemi Campinas
20323,715,2019-01-05,24,Camisa Gola V Liso,5,118,590,Iguatemi Campinas
20324,715,2019-01-05,24,Mochila Xadrez,1,283,283,Iguatemi Campinas
20325,734,2019-01-05,24,Mochila Estampa,3,277,831,Iguatemi Campinas
20326,837,2019-01-06,24,Camisa Listrado,4,108,432,Iguatemi Campinas
20327,837,2019-01-06,24,Camisa Gola V,1,100,100,Iguatemi Campinas
20328,843,2019-01-06,24,Cueca Liso,1,69,69,Iguatemi Campinas
20329,843,2019-01-06,24,Polo Estampa,5,138,690,Iguatemi Campinas
20330,843,2019-01-06,24,Relógio Linho,2,240,480,Iguatemi Campinas
20331,843,2019-01-06,24,Camisa Gola V,5,100,500,Iguatemi Campinas
20332,843,2019-01-06,24,Pulseira Liso,1,87,87,Iguatemi Campinas
20333,843,2019-01-06,24,Bermuda Liso,4,157,628,Iguatemi Campinas
20334,898,2019-01-06,24,Camisa Gola V Xadrez,1,107,107,Iguatemi Campinas
20335,908,2019-01-06,24,Mochila Estampa,1,277,277,Iguatemi Campinas
20336,908,2019-01-06,24,Bermuda Estampa,2,169,338,Iguatemi Campinas
20337,908,2019-01-06,24,Tênis,3,250,750,Iguatemi Campinas
20338,910,2019-01-06,24,Camisa Gola V Listrado,3,116,348,Iguatemi Campinas
20339,910,2019-01-06,24,Relógio Xadrez,1,214,214,Iguatemi Campinas
20340,913,2019-01-06,24,Terno Xadrez,2,709,1418,Iguatemi Campinas
20341,974,2019-01-07,24,Relógio Estampa,1,219,219,Iguatemi Campinas
20342,1025,2019-01-07,24,Sapato,1,350,350,Iguatemi Campinas
20343,1025,2019-01-07,24,Bermuda Listrado,2,163,326,Iguatemi Campinas
20344,1025,2019-01-07,24,Gorro Estampa,1,93,93,Iguatemi Campinas
20345,1025,2019-01-07,24,Cinto,1,200,200,Iguatemi Campinas
20346,1071,2019-01-07,24,Relógio Xadrez,3,214,642,Iguatemi Campinas
20347,1071,2019-01-07,24,Camisa Gola V Liso,1,118,118,Iguatemi Campinas
20348,1071,2019-01-07,24,Bermuda Liso,1,157,157,Iguatemi Campinas
20349,1071,2019-01-07,24,Tênis Listrado,4,262,1048,Iguatemi Campinas
20350,1156,2019-01-08,24,Camisa Liso,1,105,105,Iguatemi Campinas
20351,1189,2019-01-08,24,Camisa,2,100,200,Iguatemi Campinas
20352,1251,2019-01-08,24,Calça Listrado,1,181,181,Iguatemi Campinas
20353,1251,2019-01-08,24,Calça Linho,4,211,844,Iguatemi Campinas
20354,1295,2019-01-08,24,Short Estampa,5,96,480,Iguatemi Campinas
20355,1399,2019-01-09,24,Pulseira,2,70,140,Iguatemi Campinas
20356,1399,2019-01-09,24,Gorro Liso,1,92,92,Iguatemi Campinas
20357,1399,2019-01-09,24,Sapato Estampa,3,358,1074,Iguatemi Campinas
20358,1399,2019-01-09,24,Camiseta,1,180,180,Iguatemi Campinas
20359,1466,2019-01-09,24,Calça Xadrez,1,185,185,Iguatemi Campinas
20360,1466,2019-01-09,24,Gorro,1,80,80,Iguatemi Campinas
20361,1466,2019-01-09,24,Relógio Listrado,2,218,436,Iguatemi Campinas
20362,1498,2019-01-10,24,Polo Xadrez,1,142,142,Iguatemi Campinas
20363,1499,2019-01-10,24,Sunga Linho,3,149,447,Iguatemi Campinas
20364,1499,2019-01-10,24,Bermuda Estampa,2,169,338,Iguatemi Campinas
20365,1499,2019-01-10,24,Tênis Linho,4,294,1176,Iguatemi Campinas
20366,1499,2019-01-10,24,Sapato Liso,1,368,368,Iguatemi Campinas
20367,1499,2019-01-10,24,Cinto Listrado,4,214,856,Iguatemi Campinas
20368,1532,2019-01-10,24,Calça Xadrez,1,185,185,Iguatemi Campinas
20369,1532,2019-01-10,24,Bermuda Linho,1,195,195,Iguatemi Campinas
20370,1536,2019-01-10,24,Camisa Xadrez,1,105,105,Iguatemi Campinas
20371,1540,2019-01-10,24,Mochila,1,270,270,Iguatemi Campinas
20372,1604,2019-01-10,24,Cinto Estampa,2,209,418,Iguatemi Campinas
20373,1621,2019-01-10,24,Cinto,2,200,400,Iguatemi Campinas
20374,1621,2019-01-10,24,Cinto Linho,4,248,992,Iguatemi Campinas
20375,1621,2019-01-10,24,Meia,1,30,30,Iguatemi Campinas
20376,1658,2019-01-10,24,Short,3,90,270,Iguatemi Campinas
20377,1658,2019-01-10,24,Camisa Xadrez,2,105,210,Iguatemi Campinas
20378,1658,2019-01-10,24,Cinto Estampa,1,209,209,Iguatemi Campinas
20379,1710,2019-01-11,24,Camiseta Xadrez,1,200,200,Iguatemi Campinas
20380,1758,2019-01-11,24,Camisa Gola V Estampa,3,118,354,Iguatemi Campinas
20381,1775,2019-01-11,24,Sunga Xadrez,5,116,580,Iguatemi Campinas
20382,1860,2019-01-11,24,Camiseta Linho,1,223,223,Iguatemi Campinas
20383,1893,2019-01-12,24,Meia Listrado,1,37,37,Iguatemi Campinas
20384,1978,2019-01-12,24,Sunga Listrado,1,114,114,Iguatemi Campinas
20385,1978,2019-01-12,24,Meia Liso,2,38,76,Iguatemi Campinas
20386,1995,2019-01-12,24,Terno Liso,2,720,1440,Iguatemi Campinas
20387,2018,2019-01-12,24,Calça,1,170,170,Iguatemi Campinas
20388,2018,2019-01-12,24,Calça Xadrez,3,185,555,Iguatemi Campinas
20389,2018,2019-01-12,24,Camiseta,1,180,180,Iguatemi Campinas
20390,2040,2019-01-12,24,Relógio Listrado,1,218,218,Iguatemi Campinas
20391,2049,2019-01-12,24,Pulseira Linho,5,114,570,Iguatemi Campinas
20392,2067,2019-01-12,24,Sapato Estampa,1,358,358,Iguatemi Campinas
20393,2067,2019-01-12,24,Sapato,1,350,350,Iguatemi Campinas
20394,2067,2019-01-12,24,Casaco Estampa,1,256,256,Iguatemi Campinas
20395,2086,2019-01-12,24,Camisa Gola V Linho,1,145,145,Iguatemi Campinas
20396,2091,2019-01-13,24,Meia Estampa,3,50,150,Iguatemi Campinas
20397,2091,2019-01-13,24,Sunga Liso,2,114,228,Iguatemi Campinas
20398,2138,2019-01-13,24,Pulseira Estampa,2,87,174,Iguatemi Campinas
20399,2138,2019-01-13,24,Relógio,2,200,400,Iguatemi Campinas
20400,2167,2019-01-13,24,Relógio Liso,1,216,216,Iguatemi Campinas
20401,2168,2019-01-13,24,Bermuda Xadrez,3,155,465,Iguatemi Campinas
20402,2168,2019-01-13,24,Mochila Listrado,2,275,550,Iguatemi Campinas
20403,2168,2019-01-13,24,Meia Listrado,1,37,37,Iguatemi Campinas
20404,2196,2019-01-13,24,Chinelo Linho,4,105,420,Iguatemi Campinas
20405,2196,2019-01-13,24,Sunga,3,100,300,Iguatemi Campinas
20406,2273,2019-01-13,24,Meia Liso,2,38,76,Iguatemi Campinas
20407,2286,2019-01-14,24,Sunga,2,100,200,Iguatemi Campinas
20408,2324,2019-01-14,24,Meia Liso,3,38,114,Iguatemi Campinas
20409,2324,2019-01-14,24,Chinelo Estampa,2,74,148,Iguatemi Campinas
20410,2329,2019-01-14,24,Polo Xadrez,3,142,426,Iguatemi Campinas
20411,2329,2019-01-14,24,Terno Listrado,2,709,1418,Iguatemi Campinas
20412,2351,2019-01-14,24,Tênis,1,250,250,Iguatemi Campinas
20413,2366,2019-01-14,24,Camiseta Liso,1,187,187,Iguatemi Campinas
20414,2366,2019-01-14,24,Relógio Xadrez,1,214,214,Iguatemi Campinas
20415,2372,2019-01-14,24,Relógio Linho,2,240,480,Iguatemi Campinas
20416,2390,2019-01-14,24,Relógio Listrado,1,218,218,Iguatemi Campinas
20417,2390,2019-01-14,24,Gorro Xadrez,1,85,85,Iguatemi Campinas
20418,2390,2019-01-14,24,Casaco Xadrez,2,259,518,Iguatemi Campinas
20419,2415,2019-01-14,24,Camisa Listrado,2,108,216,Iguatemi Campinas
20420,2511,2019-01-15,24,Cinto Linho,1,248,248,Iguatemi Campinas
20421,2512,2019-01-15,24,Cueca Liso,4,69,276,Iguatemi Campinas
20422,2512,2019-01-15,24,Tênis Estampa,1,256,256,Iguatemi Campinas
20423,2613,2019-01-15,24,Bermuda,3,150,450,Iguatemi Campinas
20424,2613,2019-01-15,24,Polo Liso,1,137,137,Iguatemi Campinas
20425,2613,2019-01-15,24,Short,3,90,270,Iguatemi Campinas
20426,2615,2019-01-15,24,Meia Xadrez,5,41,205,Iguatemi Campinas
20427,2639,2019-01-15,24,Meia Estampa,1,50,50,Iguatemi Campinas
20428,2678,2019-01-15,24,Sunga Estampa,2,120,240,Iguatemi Campinas
20429,2698,2019-01-16,24,Camiseta,1,180,180,Iguatemi Campinas
20430,2711,2019-01-16,24,Short,2,90,180,Iguatemi Campinas
20431,2727,2019-01-16,24,Camiseta Liso,1,187,187,Iguatemi Campinas
20432,2727,2019-01-16,24,Cueca,2,50,100,Iguatemi Campinas
20433,2787,2019-01-16,24,Camiseta Xadrez,1,200,200,Iguatemi Campinas
20434,2806,2019-01-16,24,Bermuda Xadrez,1,155,155,Iguatemi Campinas
20435,2806,2019-01-16,24,Cinto,1,200,200,Iguatemi Campinas
20436,2806,2019-01-16,24,Tênis Liso,1,266,266,Iguatemi Campinas
20437,2806,2019-01-16,24,Gorro Xadrez,1,85,85,Iguatemi Campinas
20438,2820,2019-01-16,24,Casaco Estampa,1,256,256,Iguatemi Campinas
20439,2820,2019-01-16,24,Meia Estampa,1,50,50,Iguatemi Campinas
20440,2874,2019-01-16,24,Camisa Gola V Xadrez,1,107,107,Iguatemi Campinas
20441,2874,2019-01-16,24,Tênis Linho,5,294,1470,Iguatemi Campinas
20442,2874,2019-01-16,24,Cueca Estampa,3,66,198,Iguatemi Campinas
20443,2889,2019-01-16,24,Cinto Xadrez,3,215,645,Iguatemi Campinas
20444,2910,2019-01-17,24,Camiseta Linho,3,223,669,Iguatemi Campinas
20445,2949,2019-01-17,24,Sunga,1,100,100,Iguatemi Campinas
20446,2949,2019-01-17,24,Camiseta Xadrez,2,200,400,Iguatemi Campinas
20447,2949,2019-01-17,24,Relógio Estampa,1,219,219,Iguatemi Campinas
20448,2949,2019-01-17,24,Short Estampa,3,96,288,Iguatemi Campinas
20449,2949,2019-01-17,24,Calça Liso,1,190,190,Iguatemi Campinas
20450,2986,2019-01-17,24,Meia Linho,1,78,78,Iguatemi Campinas
20451,2986,2019-01-17,24,Gorro Estampa,1,93,93,Iguatemi Campinas
20452,2986,2019-01-17,24,Bermuda Xadrez,4,155,620,Iguatemi Campinas
20453,3028,2019-01-17,24,Camisa Gola V Linho,2,145,290,Iguatemi Campinas
20454,3028,2019-01-17,24,Mochila Liso,1,276,276,Iguatemi Campinas
20455,3049,2019-01-17,24,Calça Xadrez,2,185,370,Iguatemi Campinas
20456,3089,2019-01-18,24,Tênis Listrado,1,262,262,Iguatemi Campinas
20457,3089,2019-01-18,24,Calça Estampa,2,177,354,Iguatemi Campinas
20458,3252,2019-01-18,24,Short Linho,1,133,133,Iguatemi Campinas
20459,3252,2019-01-18,24,Mochila Estampa,1,277,277,Iguatemi Campinas
20460,3371,2019-01-19,24,Calça Xadrez,2,185,370,Iguatemi Campinas
20461,3371,2019-01-19,24,Gorro Listrado,1,97,97,Iguatemi Campinas
20462,3473,2019-01-20,24,Casaco,2,250,500,Iguatemi Campinas
20463,3505,2019-01-20,24,Camisa Gola V Estampa,2,118,236,Iguatemi Campinas
20464,3505,2019-01-20,24,Tênis Listrado,1,262,262,Iguatemi Campinas
20465,3505,2019-01-20,24,Calça Estampa,1,177,177,Iguatemi Campinas
20466,3518,2019-01-20,24,Chinelo Liso,2,71,142,Iguatemi Campinas
20467,3555,2019-01-20,24,Sunga Xadrez,2,116,232,Iguatemi Campinas
20468,3703,2019-01-21,24,Casaco Estampa,1,256,256,Iguatemi Campinas
20469,3703,2019-01-21,24,Sapato Xadrez,1,368,368,Iguatemi Campinas
20470,3722,2019-01-21,24,Terno Listrado,3,709,2127,Iguatemi Campinas
20471,3722,2019-01-21,24,Tênis Listrado,1,262,262,Iguatemi Campinas
20472,3729,2019-01-21,24,Bermuda Xadrez,3,155,465,Iguatemi Campinas
20473,3769,2019-01-21,24,Camisa Linho,3,141,423,Iguatemi Campinas
20474,3769,2019-01-21,24,Terno Linho,5,750,3750,Iguatemi Campinas
20475,3769,2019-01-21,24,Sunga Linho,1,149,149,Iguatemi Campinas
20476,3777,2019-01-21,24,Polo Liso,2,137,274,Iguatemi Campinas
20477,3794,2019-01-21,24,Cueca,4,50,200,Iguatemi Campinas
20478,3798,2019-01-21,24,Tênis,3,250,750,Iguatemi Campinas
20479,3880,2019-01-22,24,Short Linho,2,133,266,Iguatemi Campinas
20480,3895,2019-01-22,24,Chinelo Xadrez,4,66,264,Iguatemi Campinas
