,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
0,1,2019-01-01,1,Sapato Estampa,1,358,358,Iguatemi Esplanada
1,1,2019-01-01,1,Camiseta,2,180,360,Iguatemi Esplanada
2,1,2019-01-01,1,Sapato Xadrez,1,368,368,Iguatemi Esplanada
3,21,2019-01-02,1,Camisa Gola V Listrado,2,116,232,Iguatemi Esplanada
4,34,2019-01-02,1,Sapato Listrado,1,363,363,Iguatemi Esplanada
5,34,2019-01-02,1,Camisa Gola V Liso,2,118,236,Iguatemi Esplanada
6,49,2019-01-02,1,Terno Xadrez,3,709,2127,Iguatemi Esplanada
7,49,2019-01-02,1,Sapato Liso,1,368,368,Iguatemi Esplanada
8,63,2019-01-02,1,Sunga,3,100,300,Iguatemi Esplanada
9,63,2019-01-02,1,Camisa Gola V Liso,4,118,472,Iguatemi Esplanada
10,116,2019-01-02,1,Sapato,5,350,1750,Iguatemi Esplanada
11,116,2019-01-02,1,Calça Xadrez,1,185,185,Iguatemi Esplanada
12,123,2019-01-02,1,Bermuda Listrado,1,163,163,Iguatemi Esplanada
13,151,2019-01-02,1,Meia Listrado,3,37,111,Iguatemi Esplanada
14,184,2019-01-02,1,Polo Linho,2,176,352,Iguatemi Esplanada
15,184,2019-01-02,1,Camisa Listrado,2,108,216,Iguatemi Esplanada
16,184,2019-01-02,1,Sapato Linho,2,391,782,Iguatemi Esplanada
17,184,2019-01-02,1,Sapato Estampa,1,358,358,Iguatemi Esplanada
18,262,2019-01-03,1,Mochila Xadrez,1,283,283,Iguatemi Esplanada
19,262,2019-01-03,1,Sapato Linho,1,391,391,Iguatemi Esplanada
20,268,2019-01-03,1,Gorro Estampa,2,93,186,Iguatemi Esplanada
21,325,2019-01-03,1,Tênis Xadrez,1,259,259,Iguatemi Esplanada
22,325,2019-01-03,1,Gorro,2,80,160,Iguatemi Esplanada
23,325,2019-01-03,1,Tênis Xadrez,2,259,518,Iguatemi Esplanada
24,325,2019-01-03,1,Calça,2,170,340,Iguatemi Esplanada
25,365,2019-01-03,1,Cinto Xadrez,3,215,645,Iguatemi Esplanada
26,365,2019-01-03,1,Terno Linho,2,750,1500,Iguatemi Esplanada
27,365,2019-01-03,1,Relógio,1,200,200,Iguatemi Esplanada
28,365,2019-01-03,1,Sapato Linho,1,391,391,Iguatemi Esplanada
29,369,2019-01-03,1,Gorro Listrado,4,97,388,Iguatemi Esplanada
30,372,2019-01-03,1,Camisa Listrado,3,108,324,Iguatemi Esplanada
31,372,2019-01-03,1,Cueca,3,50,150,Iguatemi Esplanada
32,430,2019-01-04,1,Chinelo Linho,3,105,315,Iguatemi Esplanada
33,448,2019-01-04,1,Polo Xadrez,3,142,426,Iguatemi Esplanada
34,448,2019-01-04,1,Cinto Liso,3,209,627,Iguatemi Esplanada
35,448,2019-01-04,1,Sunga Xadrez,3,116,348,Iguatemi Esplanada
36,448,2019-01-04,1,Gorro,1,80,80,Iguatemi Esplanada
37,448,2019-01-04,1,Bermuda Listrado,2,163,326,Iguatemi Esplanada
