,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
3980,2,2019-01-02,3,Relógio,3,200,600,Norte Shopping
3981,2,2019-01-02,3,Chinelo Liso,1,71,71,Norte Shopping
3982,7,2019-01-02,3,Camisa Gola V Listrado,1,116,116,Norte Shopping
3983,7,2019-01-02,3,Camisa Liso,1,105,105,Norte Shopping
3984,73,2019-01-02,3,Cueca Xadrez,5,60,300,Norte Shopping
3985,73,2019-01-02,3,Cueca Listrado,1,67,67,Norte Shopping
3986,137,2019-01-02,3,Cueca,2,50,100,Norte Shopping
3987,147,2019-01-02,3,Camisa Xadrez,2,105,210,Norte Shopping
3988,147,2019-01-02,3,Cueca,3,50,150,Norte Shopping
3989,147,2019-01-02,3,Gorro Liso,2,92,184,Norte Shopping
3990,195,2019-01-02,3,Cinto,1,200,200,Norte Shopping
3991,195,2019-01-02,3,Relógio Liso,3,216,648,Norte Shopping
3992,196,2019-01-02,3,Cueca Xadrez,2,60,120,Norte Shopping
3993,201,2019-01-02,3,Relógio,2,200,400,Norte Shopping
3994,201,2019-01-02,3,Mochila Estampa,3,277,831,Norte Shopping
3995,244,2019-01-03,3,Pulseira Liso,1,87,87,Norte Shopping
3996,247,2019-01-03,3,Camisa Gola V Listrado,2,116,232,Norte Shopping
3997,247,2019-01-03,3,Polo Xadrez,1,142,142,Norte Shopping
3998,317,2019-01-03,3,Chinelo Liso,1,71,71,Norte Shopping
3999,317,2019-01-03,3,Meia Listrado,1,37,37,Norte Shopping
4000,380,2019-01-03,3,Mochila Estampa,1,277,277,Norte Shopping
4001,402,2019-01-04,3,Camiseta Xadrez,1,200,200,Norte Shopping
4002,402,2019-01-04,3,Meia Xadrez,1,41,41,Norte Shopping
4003,402,2019-01-04,3,Polo,5,130,650,Norte Shopping
4004,439,2019-01-04,3,Pulseira Estampa,4,87,348,Norte Shopping
4005,466,2019-01-04,3,Camisa Listrado,1,108,108,Norte Shopping
4006,466,2019-01-04,3,Meia Xadrez,1,41,41,Norte Shopping
4007,555,2019-01-04,3,Gorro Liso,1,92,92,Norte Shopping
4008,555,2019-01-04,3,Cueca Linho,1,93,93,Norte Shopping
4009,555,2019-01-04,3,Casaco Liso,1,255,255,Norte Shopping
4010,561,2019-01-04,3,Calça Xadrez,2,185,370,Norte Shopping
4011,561,2019-01-04,3,Camiseta Linho,1,223,223,Norte Shopping
4012,636,2019-01-05,3,Cinto,4,200,800,Norte Shopping
4013,636,2019-01-05,3,Mochila Listrado,3,275,825,Norte Shopping
4014,672,2019-01-05,3,Camiseta Linho,1,223,223,Norte Shopping
4015,720,2019-01-05,3,Cueca Xadrez,2,60,120,Norte Shopping
4016,748,2019-01-06,3,Camisa Gola V,2,100,200,Norte Shopping
4017,748,2019-01-06,3,Tênis Liso,2,266,532,Norte Shopping
4018,756,2019-01-06,3,Polo Listrado,3,149,447,Norte Shopping
4019,756,2019-01-06,3,Calça Linho,2,211,422,Norte Shopping
4020,756,2019-01-06,3,Sunga Linho,1,149,149,Norte Shopping
4021,785,2019-01-06,3,Pulseira Listrado,2,79,158,Norte Shopping
4022,785,2019-01-06,3,Sunga Liso,5,114,570,Norte Shopping
4023,788,2019-01-06,3,Terno Xadrez,4,709,2836,Norte Shopping
4024,788,2019-01-06,3,Camisa Gola V Estampa,2,118,236,Norte Shopping
4025,788,2019-01-06,3,Sapato Linho,3,391,1173,Norte Shopping
4026,807,2019-01-06,3,Mochila,1,270,270,Norte Shopping
4027,807,2019-01-06,3,Pulseira Listrado,2,79,158,Norte Shopping
4028,814,2019-01-06,3,Camisa Gola V Listrado,2,116,232,Norte Shopping
4029,820,2019-01-06,3,Casaco Xadrez,2,259,518,Norte Shopping
4030,820,2019-01-06,3,Calça Liso,2,190,380,Norte Shopping
4031,820,2019-01-06,3,Casaco Estampa,4,256,1024,Norte Shopping
4032,820,2019-01-06,3,Casaco Liso,4,255,1020,Norte Shopping
4033,820,2019-01-06,3,Gorro,1,80,80,Norte Shopping
4034,840,2019-01-06,3,Short Xadrez,1,100,100,Norte Shopping
4035,840,2019-01-06,3,Camisa Gola V Xadrez,4,107,428,Norte Shopping
4036,963,2019-01-07,3,Mochila,2,270,540,Norte Shopping
4037,963,2019-01-07,3,Cueca Liso,1,69,69,Norte Shopping
4038,963,2019-01-07,3,Sapato Listrado,1,363,363,Norte Shopping
4039,963,2019-01-07,3,Sunga Xadrez,1,116,116,Norte Shopping
4040,963,2019-01-07,3,Camisa Gola V Listrado,1,116,116,Norte Shopping
4041,970,2019-01-07,3,Cueca Xadrez,1,60,60,Norte Shopping
4042,970,2019-01-07,3,Mochila Liso,1,276,276,Norte Shopping
4043,1008,2019-01-07,3,Casaco Liso,1,255,255,Norte Shopping
4044,1008,2019-01-07,3,Camisa,3,100,300,Norte Shopping
4045,1013,2019-01-07,3,Sapato Listrado,2,363,726,Norte Shopping
4046,1013,2019-01-07,3,Gorro Liso,1,92,92,Norte Shopping
4047,1023,2019-01-07,3,Casaco Xadrez,2,259,518,Norte Shopping
4048,1023,2019-01-07,3,Camisa,1,100,100,Norte Shopping
4049,1044,2019-01-07,3,Sunga Linho,3,149,447,Norte Shopping
4050,1044,2019-01-07,3,Gorro Linho,4,124,496,Norte Shopping
4051,1058,2019-01-07,3,Polo,1,130,130,Norte Shopping
4052,1061,2019-01-07,3,Sunga,2,100,200,Norte Shopping
4053,1078,2019-01-07,3,Casaco Xadrez,1,259,259,Norte Shopping
4054,1085,2019-01-07,3,Cueca Liso,3,69,207,Norte Shopping
4055,1091,2019-01-07,3,Camiseta,1,180,180,Norte Shopping
4056,1091,2019-01-07,3,Camisa,1,100,100,Norte Shopping
4057,1091,2019-01-07,3,Bermuda Linho,1,195,195,Norte Shopping
4058,1101,2019-01-07,3,Relógio Liso,3,216,648,Norte Shopping
4059,1101,2019-01-07,3,Casaco Liso,3,255,765,Norte Shopping
4060,1112,2019-01-07,3,Calça Liso,1,190,190,Norte Shopping
4061,1112,2019-01-07,3,Sapato Listrado,1,363,363,Norte Shopping
4062,1112,2019-01-07,3,Sunga,1,100,100,Norte Shopping
4063,1112,2019-01-07,3,Chinelo Liso,1,71,71,Norte Shopping
4064,1149,2019-01-08,3,Casaco Xadrez,2,259,518,Norte Shopping
4065,1166,2019-01-08,3,Mochila Linho,2,311,622,Norte Shopping
4066,1166,2019-01-08,3,Calça Listrado,1,181,181,Norte Shopping
4067,1166,2019-01-08,3,Calça Estampa,2,177,354,Norte Shopping
4068,1166,2019-01-08,3,Camisa Liso,1,105,105,Norte Shopping
4069,1190,2019-01-08,3,Pulseira Xadrez,2,87,174,Norte Shopping
4070,1214,2019-01-08,3,Polo Linho,1,176,176,Norte Shopping
4071,1214,2019-01-08,3,Camiseta Xadrez,1,200,200,Norte Shopping
4072,1214,2019-01-08,3,Polo Linho,2,176,352,Norte Shopping
4073,1242,2019-01-08,3,Meia Listrado,1,37,37,Norte Shopping
4074,1242,2019-01-08,3,Relógio Xadrez,1,214,214,Norte Shopping
4075,1304,2019-01-08,3,Relógio Liso,1,216,216,Norte Shopping
4076,1475,2019-01-09,3,Bermuda Listrado,3,163,489,Norte Shopping
4077,1485,2019-01-09,3,Pulseira Listrado,4,79,316,Norte Shopping
4078,1485,2019-01-09,3,Relógio Linho,5,240,1200,Norte Shopping
4079,1505,2019-01-10,3,Calça Linho,2,211,422,Norte Shopping
4080,1505,2019-01-10,3,Tênis Estampa,1,256,256,Norte Shopping
4081,1505,2019-01-10,3,Pulseira,2,70,140,Norte Shopping
4082,1505,2019-01-10,3,Mochila Listrado,2,275,550,Norte Shopping
4083,1505,2019-01-10,3,Camiseta Liso,3,187,561,Norte Shopping
4084,1505,2019-01-10,3,Pulseira Liso,5,87,435,Norte Shopping
4085,1511,2019-01-10,3,Bermuda,4,150,600,Norte Shopping
4086,1520,2019-01-10,3,Cueca Liso,1,69,69,Norte Shopping
4087,1578,2019-01-10,3,Sunga Liso,1,114,114,Norte Shopping
4088,1603,2019-01-10,3,Short Listrado,1,102,102,Norte Shopping
4089,1603,2019-01-10,3,Camiseta Listrado,3,197,591,Norte Shopping
4090,1645,2019-01-10,3,Bermuda Estampa,1,169,169,Norte Shopping
4091,1645,2019-01-10,3,Pulseira Listrado,5,79,395,Norte Shopping
4092,1645,2019-01-10,3,Cueca Linho,1,93,93,Norte Shopping
4093,1652,2019-01-10,3,Polo Xadrez,1,142,142,Norte Shopping
4094,1652,2019-01-10,3,Mochila Estampa,2,277,554,Norte Shopping
4095,1701,2019-01-11,3,Polo Listrado,1,149,149,Norte Shopping
4096,1701,2019-01-11,3,Tênis Listrado,3,262,786,Norte Shopping
4097,1701,2019-01-11,3,Bermuda Liso,2,157,314,Norte Shopping
4098,1737,2019-01-11,3,Short Estampa,2,96,192,Norte Shopping
4099,1794,2019-01-11,3,Tênis Estampa,2,256,512,Norte Shopping
4100,1798,2019-01-11,3,Tênis Listrado,2,262,524,Norte Shopping
4101,1809,2019-01-11,3,Casaco Xadrez,2,259,518,Norte Shopping
4102,1849,2019-01-11,3,Terno Liso,2,720,1440,Norte Shopping
4103,1849,2019-01-11,3,Casaco Estampa,2,256,512,Norte Shopping
4104,1850,2019-01-11,3,Relógio Listrado,1,218,218,Norte Shopping
4105,1850,2019-01-11,3,Polo Xadrez,3,142,426,Norte Shopping
4106,1866,2019-01-11,3,Cueca Xadrez,3,60,180,Norte Shopping
4107,1866,2019-01-11,3,Calça Estampa,1,177,177,Norte Shopping
4108,1866,2019-01-11,3,Camisa Estampa,4,113,452,Norte Shopping
4109,1903,2019-01-12,3,Casaco Xadrez,1,259,259,Norte Shopping
4110,1903,2019-01-12,3,Terno Xadrez,1,709,709,Norte Shopping
4111,1903,2019-01-12,3,Gorro Listrado,1,97,97,Norte Shopping
4112,1916,2019-01-12,3,Polo Linho,3,176,528,Norte Shopping
4113,1928,2019-01-12,3,Short Listrado,1,102,102,Norte Shopping
4114,1937,2019-01-12,3,Camiseta Linho,4,223,892,Norte Shopping
4115,1937,2019-01-12,3,Sapato Estampa,1,358,358,Norte Shopping
4116,1937,2019-01-12,3,Chinelo Estampa,2,74,148,Norte Shopping
4117,1972,2019-01-12,3,Chinelo Xadrez,5,66,330,Norte Shopping
4118,2015,2019-01-12,3,Camisa Liso,2,105,210,Norte Shopping
4119,2027,2019-01-12,3,Polo Liso,1,137,137,Norte Shopping
4120,2065,2019-01-12,3,Short Estampa,1,96,96,Norte Shopping
4121,2083,2019-01-12,3,Polo Xadrez,1,142,142,Norte Shopping
4122,2108,2019-01-13,3,Polo Linho,1,176,176,Norte Shopping
4123,2108,2019-01-13,3,Mochila Linho,2,311,622,Norte Shopping
4124,2108,2019-01-13,3,Camisa Listrado,1,108,108,Norte Shopping
4125,2133,2019-01-13,3,Short Estampa,2,96,192,Norte Shopping
4126,2176,2019-01-13,3,Cueca Liso,4,69,276,Norte Shopping
4127,2283,2019-01-13,3,Mochila Listrado,1,275,275,Norte Shopping
4128,2283,2019-01-13,3,Tênis Listrado,1,262,262,Norte Shopping
4129,2283,2019-01-13,3,Terno Listrado,3,709,2127,Norte Shopping
