,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
68502,41,2019-01-02,23,Gorro,1,80,80,Novo Shopping Ribeirão Preto
68503,41,2019-01-02,23,Short Xadrez,4,100,400,Novo Shopping Ribeirão Preto
68504,61,2019-01-02,23,Camisa Gola V Listrado,1,116,116,Novo Shopping Ribeirão Preto
68505,61,2019-01-02,23,Camisa Estampa,2,113,226,Novo Shopping Ribeirão Preto
68506,93,2019-01-02,23,Camiseta Liso,1,187,187,Novo Shopping Ribeirão Preto
68507,93,2019-01-02,23,Camiseta,1,180,180,Novo Shopping Ribeirão Preto
68508,129,2019-01-02,23,Meia Linho,2,78,156,Novo Shopping Ribeirão Preto
68509,141,2019-01-02,23,Camisa Linho,2,141,282,Novo Shopping Ribeirão Preto
68510,141,2019-01-02,23,Camisa,3,100,300,Novo Shopping Ribeirão Preto
68511,141,2019-01-02,23,Chinelo Estampa,2,74,148,Novo Shopping Ribeirão Preto
68512,159,2019-01-02,23,Mochila Liso,2,276,552,Novo Shopping Ribeirão Preto
68513,159,2019-01-02,23,Meia Listrado,2,37,74,Novo Shopping Ribeirão Preto
68514,159,2019-01-02,23,Bermuda Listrado,1,163,163,Novo Shopping Ribeirão Preto
68515,279,2019-01-03,23,Sapato Xadrez,2,368,736,Novo Shopping Ribeirão Preto
68516,279,2019-01-03,23,Bermuda Liso,1,157,157,Novo Shopping Ribeirão Preto
68517,288,2019-01-03,23,Short Liso,2,108,216,Novo Shopping Ribeirão Preto
68518,288,2019-01-03,23,Meia Listrado,2,37,74,Novo Shopping Ribeirão Preto
68519,288,2019-01-03,23,Cueca Liso,2,69,138,Novo Shopping Ribeirão Preto
68520,288,2019-01-03,23,Cueca Listrado,3,67,201,Novo Shopping Ribeirão Preto
68521,329,2019-01-03,23,Camisa Gola V Xadrez,1,107,107,Novo Shopping Ribeirão Preto
68522,329,2019-01-03,23,Casaco Estampa,1,256,256,Novo Shopping Ribeirão Preto
68523,342,2019-01-03,23,Pulseira,2,70,140,Novo Shopping Ribeirão Preto
68524,342,2019-01-03,23,Bermuda,2,150,300,Novo Shopping Ribeirão Preto
68525,410,2019-01-04,23,Sunga Listrado,3,114,342,Novo Shopping Ribeirão Preto
68526,410,2019-01-04,23,Bermuda,5,150,750,Novo Shopping Ribeirão Preto
68527,410,2019-01-04,23,Casaco Listrado,2,269,538,Novo Shopping Ribeirão Preto
68528,421,2019-01-04,23,Camisa Liso,1,105,105,Novo Shopping Ribeirão Preto
68529,421,2019-01-04,23,Pulseira Estampa,1,87,87,Novo Shopping Ribeirão Preto
68530,421,2019-01-04,23,Terno Estampa,3,706,2118,Novo Shopping Ribeirão Preto
68531,442,2019-01-04,23,Sunga,3,100,300,Novo Shopping Ribeirão Preto
68532,442,2019-01-04,23,Relógio Estampa,1,219,219,Novo Shopping Ribeirão Preto
68533,456,2019-01-04,23,Cueca Listrado,1,67,67,Novo Shopping Ribeirão Preto
68534,456,2019-01-04,23,Cueca Listrado,5,67,335,Novo Shopping Ribeirão Preto
68535,458,2019-01-04,23,Bermuda,2,150,300,Novo Shopping Ribeirão Preto
68536,458,2019-01-04,23,Cinto Liso,3,209,627,Novo Shopping Ribeirão Preto
68537,469,2019-01-04,23,Sunga Xadrez,1,116,116,Novo Shopping Ribeirão Preto
68538,469,2019-01-04,23,Calça Xadrez,2,185,370,Novo Shopping Ribeirão Preto
68539,512,2019-01-04,23,Terno Liso,1,720,720,Novo Shopping Ribeirão Preto
68540,512,2019-01-04,23,Short Estampa,3,96,288,Novo Shopping Ribeirão Preto
68541,536,2019-01-04,23,Sapato,3,350,1050,Novo Shopping Ribeirão Preto
68542,536,2019-01-04,23,Mochila Xadrez,3,283,849,Novo Shopping Ribeirão Preto
68543,563,2019-01-04,23,Camiseta,4,180,720,Novo Shopping Ribeirão Preto
68544,563,2019-01-04,23,Short,2,90,180,Novo Shopping Ribeirão Preto
68545,565,2019-01-04,23,Short Linho,2,133,266,Novo Shopping Ribeirão Preto
68546,612,2019-01-05,23,Sapato,1,350,350,Novo Shopping Ribeirão Preto
68547,659,2019-01-05,23,Cueca Linho,3,93,279,Novo Shopping Ribeirão Preto
68548,659,2019-01-05,23,Camisa,2,100,200,Novo Shopping Ribeirão Preto
68549,677,2019-01-05,23,Tênis Listrado,3,262,786,Novo Shopping Ribeirão Preto
68550,677,2019-01-05,23,Meia Liso,1,38,38,Novo Shopping Ribeirão Preto
68551,680,2019-01-05,23,Short Xadrez,1,100,100,Novo Shopping Ribeirão Preto
68552,680,2019-01-05,23,Casaco Xadrez,1,259,259,Novo Shopping Ribeirão Preto
68553,690,2019-01-05,23,Casaco,4,250,1000,Novo Shopping Ribeirão Preto
68554,764,2019-01-06,23,Camisa Gola V Liso,2,118,236,Novo Shopping Ribeirão Preto
68555,764,2019-01-06,23,Mochila Xadrez,1,283,283,Novo Shopping Ribeirão Preto
68556,764,2019-01-06,23,Pulseira Linho,1,114,114,Novo Shopping Ribeirão Preto
68557,865,2019-01-06,23,Cueca Liso,4,69,276,Novo Shopping Ribeirão Preto
