,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
76650,47,2019-01-02,15,Short,1,90,90,Palladium Shopping Curitiba
76651,59,2019-01-02,15,Calça,2,170,340,Palladium Shopping Curitiba
76652,66,2019-01-02,15,Casaco,4,250,1000,Palladium Shopping Curitiba
76653,66,2019-01-02,15,Camiseta Linho,1,223,223,Palladium Shopping Curitiba
76654,94,2019-01-02,15,Relógio Estampa,4,219,876,Palladium Shopping Curitiba
76655,145,2019-01-02,15,Sapato Linho,2,391,782,Palladium Shopping Curitiba
76656,152,2019-01-02,15,Camiseta Liso,1,187,187,Palladium Shopping Curitiba
76657,175,2019-01-02,15,Cinto Estampa,3,209,627,Palladium Shopping Curitiba
76658,175,2019-01-02,15,Relógio Estampa,5,219,1095,Palladium Shopping Curitiba
76659,185,2019-01-02,15,Camisa Gola V,4,100,400,Palladium Shopping Curitiba
76660,210,2019-01-03,15,Sapato Xadrez,5,368,1840,Palladium Shopping Curitiba
76661,210,2019-01-03,15,Camisa Linho,1,141,141,Palladium Shopping Curitiba
76662,210,2019-01-03,15,Calça,5,170,850,Palladium Shopping Curitiba
76663,210,2019-01-03,15,Terno,5,700,3500,Palladium Shopping Curitiba
76664,228,2019-01-03,15,Tênis Estampa,2,256,512,Palladium Shopping Curitiba
76665,241,2019-01-03,15,Terno Estampa,3,706,2118,Palladium Shopping Curitiba
76666,340,2019-01-03,15,Terno Xadrez,5,709,3545,Palladium Shopping Curitiba
76667,349,2019-01-03,15,Cueca Estampa,2,66,132,Palladium Shopping Curitiba
76668,355,2019-01-03,15,Camiseta Listrado,2,197,394,Palladium Shopping Curitiba
76669,355,2019-01-03,15,Calça Estampa,3,177,531,Palladium Shopping Curitiba
76670,376,2019-01-03,15,Tênis Estampa,2,256,512,Palladium Shopping Curitiba
76671,385,2019-01-03,15,Cinto Estampa,1,209,209,Palladium Shopping Curitiba
76672,409,2019-01-04,15,Terno Xadrez,4,709,2836,Palladium Shopping Curitiba
76673,409,2019-01-04,15,Calça Liso,1,190,190,Palladium Shopping Curitiba
76674,409,2019-01-04,15,Camisa,2,100,200,Palladium Shopping Curitiba
76675,449,2019-01-04,15,Cueca Listrado,1,67,67,Palladium Shopping Curitiba
76676,478,2019-01-04,15,Relógio,1,200,200,Palladium Shopping Curitiba
76677,478,2019-01-04,15,Cinto Liso,2,209,418,Palladium Shopping Curitiba
76678,478,2019-01-04,15,Cueca Linho,2,93,186,Palladium Shopping Curitiba
76679,479,2019-01-04,15,Gorro Estampa,2,93,186,Palladium Shopping Curitiba
76680,485,2019-01-04,15,Polo Estampa,1,138,138,Palladium Shopping Curitiba
76681,485,2019-01-04,15,Terno Xadrez,3,709,2127,Palladium Shopping Curitiba
76682,494,2019-01-04,15,Tênis Liso,2,266,532,Palladium Shopping Curitiba
76683,500,2019-01-04,15,Cinto Listrado,4,214,856,Palladium Shopping Curitiba
76684,500,2019-01-04,15,Relógio Estampa,5,219,1095,Palladium Shopping Curitiba
76685,500,2019-01-04,15,Calça Estampa,3,177,531,Palladium Shopping Curitiba
76686,528,2019-01-04,15,Gorro Xadrez,1,85,85,Palladium Shopping Curitiba
76687,569,2019-01-05,15,Mochila Xadrez,4,283,1132,Palladium Shopping Curitiba
76688,569,2019-01-05,15,Gorro Linho,2,124,248,Palladium Shopping Curitiba
76689,620,2019-01-05,15,Pulseira,1,70,70,Palladium Shopping Curitiba
76690,627,2019-01-05,15,Calça Estampa,2,177,354,Palladium Shopping Curitiba
76691,722,2019-01-05,15,Relógio Estampa,2,219,438,Palladium Shopping Curitiba
76692,722,2019-01-05,15,Sapato Xadrez,5,368,1840,Palladium Shopping Curitiba
76693,722,2019-01-05,15,Mochila Liso,1,276,276,Palladium Shopping Curitiba
76694,722,2019-01-05,15,Camisa Gola V Xadrez,1,107,107,Palladium Shopping Curitiba
76695,768,2019-01-06,15,Terno Estampa,2,706,1412,Palladium Shopping Curitiba
76696,768,2019-01-06,15,Casaco Listrado,2,269,538,Palladium Shopping Curitiba
76697,769,2019-01-06,15,Sunga Xadrez,2,116,232,Palladium Shopping Curitiba
76698,808,2019-01-06,15,Sunga Xadrez,2,116,232,Palladium Shopping Curitiba
76699,930,2019-01-06,15,Cinto Xadrez,1,215,215,Palladium Shopping Curitiba
76700,930,2019-01-06,15,Short Listrado,1,102,102,Palladium Shopping Curitiba
76701,993,2019-01-07,15,Sunga Xadrez,2,116,232,Palladium Shopping Curitiba
76702,1014,2019-01-07,15,Polo,3,130,390,Palladium Shopping Curitiba
76703,1014,2019-01-07,15,Mochila Liso,1,276,276,Palladium Shopping Curitiba
76704,1014,2019-01-07,15,Tênis Linho,1,294,294,Palladium Shopping Curitiba
76705,1050,2019-01-07,15,Camiseta,1,180,180,Palladium Shopping Curitiba
76706,1050,2019-01-07,15,Pulseira Listrado,1,79,79,Palladium Shopping Curitiba
76707,1050,2019-01-07,15,Camisa Liso,2,105,210,Palladium Shopping Curitiba
76708,1050,2019-01-07,15,Short Listrado,2,102,204,Palladium Shopping Curitiba
76709,1050,2019-01-07,15,Cueca Linho,1,93,93,Palladium Shopping Curitiba
76710,1118,2019-01-07,15,Camisa Estampa,1,113,113,Palladium Shopping Curitiba
76711,1118,2019-01-07,15,Sapato,1,350,350,Palladium Shopping Curitiba
76712,1131,2019-01-08,15,Gorro Xadrez,1,85,85,Palladium Shopping Curitiba
76713,1132,2019-01-08,15,Casaco Linho,2,299,598,Palladium Shopping Curitiba
76714,1132,2019-01-08,15,Calça Estampa,1,177,177,Palladium Shopping Curitiba
76715,1217,2019-01-08,15,Pulseira Liso,1,87,87,Palladium Shopping Curitiba
76716,1221,2019-01-08,15,Casaco,1,250,250,Palladium Shopping Curitiba
76717,1231,2019-01-08,15,Camisa,2,100,200,Palladium Shopping Curitiba
76718,1243,2019-01-08,15,Terno Xadrez,2,709,1418,Palladium Shopping Curitiba
76719,1245,2019-01-08,15,Cinto Xadrez,2,215,430,Palladium Shopping Curitiba
76720,1301,2019-01-08,15,Chinelo Estampa,3,74,222,Palladium Shopping Curitiba
76721,1353,2019-01-09,15,Short Liso,2,108,216,Palladium Shopping Curitiba
76722,1353,2019-01-09,15,Pulseira Liso,3,87,261,Palladium Shopping Curitiba
76723,1353,2019-01-09,15,Bermuda Estampa,1,169,169,Palladium Shopping Curitiba
76724,1353,2019-01-09,15,Meia Linho,1,78,78,Palladium Shopping Curitiba
76725,1394,2019-01-09,15,Mochila Estampa,3,277,831,Palladium Shopping Curitiba
76726,1394,2019-01-09,15,Gorro Estampa,2,93,186,Palladium Shopping Curitiba
76727,1446,2019-01-09,15,Camisa Liso,1,105,105,Palladium Shopping Curitiba
76728,1458,2019-01-09,15,Sunga Listrado,3,114,342,Palladium Shopping Curitiba
76729,1458,2019-01-09,15,Meia,4,30,120,Palladium Shopping Curitiba
76730,1458,2019-01-09,15,Cueca,2,50,100,Palladium Shopping Curitiba
76731,1519,2019-01-10,15,Camisa Gola V Estampa,3,118,354,Palladium Shopping Curitiba
76732,1526,2019-01-10,15,Cinto,3,200,600,Palladium Shopping Curitiba
76733,1539,2019-01-10,15,Bermuda Liso,2,157,314,Palladium Shopping Curitiba
76734,1539,2019-01-10,15,Cinto Xadrez,1,215,215,Palladium Shopping Curitiba
76735,1556,2019-01-10,15,Camiseta Listrado,1,197,197,Palladium Shopping Curitiba
76736,1561,2019-01-10,15,Bermuda Liso,2,157,314,Palladium Shopping Curitiba
76737,1571,2019-01-10,15,Meia Listrado,2,37,74,Palladium Shopping Curitiba
76738,1571,2019-01-10,15,Relógio Liso,1,216,216,Palladium Shopping Curitiba
76739,1636,2019-01-10,15,Camisa Linho,2,141,282,Palladium Shopping Curitiba
76740,1660,2019-01-10,15,Camiseta Liso,2,187,374,Palladium Shopping Curitiba
76741,1660,2019-01-10,15,Sunga Liso,1,114,114,Palladium Shopping Curitiba
76742,1678,2019-01-11,15,Calça,1,170,170,Palladium Shopping Curitiba
76743,1678,2019-01-11,15,Short Liso,5,108,540,Palladium Shopping Curitiba
76744,1682,2019-01-11,15,Sunga Estampa,4,120,480,Palladium Shopping Curitiba
76745,1682,2019-01-11,15,Gorro Estampa,1,93,93,Palladium Shopping Curitiba
76746,1709,2019-01-11,15,Casaco Liso,2,255,510,Palladium Shopping Curitiba
76747,1716,2019-01-11,15,Cinto Xadrez,1,215,215,Palladium Shopping Curitiba
76748,1716,2019-01-11,15,Terno Liso,1,720,720,Palladium Shopping Curitiba
76749,1742,2019-01-11,15,Terno Xadrez,5,709,3545,Palladium Shopping Curitiba
76750,1765,2019-01-11,15,Polo,3,130,390,Palladium Shopping Curitiba
76751,1765,2019-01-11,15,Mochila,3,270,810,Palladium Shopping Curitiba
76752,1767,2019-01-11,15,Tênis,4,250,1000,Palladium Shopping Curitiba
76753,1767,2019-01-11,15,Tênis,1,250,250,Palladium Shopping Curitiba
76754,1767,2019-01-11,15,Casaco Liso,2,255,510,Palladium Shopping Curitiba
76755,1773,2019-01-11,15,Sapato Estampa,2,358,716,Palladium Shopping Curitiba
76756,1784,2019-01-11,15,Casaco Liso,2,255,510,Palladium Shopping Curitiba
