,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
48356,22,2019-01-02,13,Meia,1,30,30,Parque Dom Pedro Shopping
48357,22,2019-01-02,13,Meia Linho,2,78,156,Parque Dom Pedro Shopping
48358,22,2019-01-02,13,Calça Liso,2,190,380,Parque Dom Pedro Shopping
48359,35,2019-01-02,13,Relógio,2,200,400,Parque Dom Pedro Shopping
48360,35,2019-01-02,13,Sapato,2,350,700,Parque Dom Pedro Shopping
48361,51,2019-01-02,13,Cinto Listrado,1,214,214,Parque Dom Pedro Shopping
48362,86,2019-01-02,13,Polo,1,130,130,Parque Dom Pedro Shopping
48363,106,2019-01-02,13,Pulseira Liso,4,87,348,Parque Dom Pedro Shopping
48364,108,2019-01-02,13,Polo Listrado,4,149,596,Parque Dom Pedro Shopping
48365,117,2019-01-02,13,Camisa Xadrez,3,105,315,Parque Dom Pedro Shopping
48366,117,2019-01-02,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
48367,161,2019-01-02,13,Bermuda Listrado,2,163,326,Parque Dom Pedro Shopping
48368,167,2019-01-02,13,Chinelo Liso,1,71,71,Parque Dom Pedro Shopping
48369,167,2019-01-02,13,Cueca Listrado,1,67,67,Parque Dom Pedro Shopping
48370,168,2019-01-02,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
48371,170,2019-01-02,13,Tênis Xadrez,3,259,777,Parque Dom Pedro Shopping
48372,186,2019-01-02,13,Relógio,4,200,800,Parque Dom Pedro Shopping
48373,191,2019-01-02,13,Calça,2,170,340,Parque Dom Pedro Shopping
48374,191,2019-01-02,13,Casaco Xadrez,4,259,1036,Parque Dom Pedro Shopping
48375,218,2019-01-03,13,Camisa Xadrez,3,105,315,Parque Dom Pedro Shopping
48376,218,2019-01-03,13,Mochila,5,270,1350,Parque Dom Pedro Shopping
48377,218,2019-01-03,13,Meia Listrado,3,37,111,Parque Dom Pedro Shopping
48378,263,2019-01-03,13,Sapato Liso,1,368,368,Parque Dom Pedro Shopping
48379,263,2019-01-03,13,Sapato Xadrez,4,368,1472,Parque Dom Pedro Shopping
48380,263,2019-01-03,13,Camiseta Estampa,1,196,196,Parque Dom Pedro Shopping
48381,263,2019-01-03,13,Gorro,3,80,240,Parque Dom Pedro Shopping
48382,272,2019-01-03,13,Chinelo Liso,4,71,284,Parque Dom Pedro Shopping
48383,285,2019-01-03,13,Casaco Liso,5,255,1275,Parque Dom Pedro Shopping
48384,285,2019-01-03,13,Polo Xadrez,2,142,284,Parque Dom Pedro Shopping
48385,302,2019-01-03,13,Relógio Listrado,2,218,436,Parque Dom Pedro Shopping
48386,305,2019-01-03,13,Calça Estampa,4,177,708,Parque Dom Pedro Shopping
48387,354,2019-01-03,13,Camisa Gola V Xadrez,1,107,107,Parque Dom Pedro Shopping
48388,358,2019-01-03,13,Camisa Linho,2,141,282,Parque Dom Pedro Shopping
48389,358,2019-01-03,13,Tênis Xadrez,4,259,1036,Parque Dom Pedro Shopping
48390,386,2019-01-03,13,Camisa,3,100,300,Parque Dom Pedro Shopping
48391,386,2019-01-03,13,Calça,2,170,340,Parque Dom Pedro Shopping
48392,394,2019-01-04,13,Camisa,2,100,200,Parque Dom Pedro Shopping
48393,407,2019-01-04,13,Sunga Liso,4,114,456,Parque Dom Pedro Shopping
48394,417,2019-01-04,13,Cueca Linho,2,93,186,Parque Dom Pedro Shopping
48395,459,2019-01-04,13,Camisa Linho,1,141,141,Parque Dom Pedro Shopping
48396,511,2019-01-04,13,Meia Estampa,1,50,50,Parque Dom Pedro Shopping
48397,521,2019-01-04,13,Camisa Estampa,5,113,565,Parque Dom Pedro Shopping
48398,521,2019-01-04,13,Terno,3,700,2100,Parque Dom Pedro Shopping
48399,568,2019-01-04,13,Mochila,1,270,270,Parque Dom Pedro Shopping
48400,568,2019-01-04,13,Polo Linho,3,176,528,Parque Dom Pedro Shopping
48401,577,2019-01-05,13,Short Estampa,2,96,192,Parque Dom Pedro Shopping
48402,577,2019-01-05,13,Short Xadrez,2,100,200,Parque Dom Pedro Shopping
48403,589,2019-01-05,13,Polo Xadrez,2,142,284,Parque Dom Pedro Shopping
48404,589,2019-01-05,13,Sapato Estampa,5,358,1790,Parque Dom Pedro Shopping
48405,613,2019-01-05,13,Casaco,5,250,1250,Parque Dom Pedro Shopping
48406,613,2019-01-05,13,Short Linho,4,133,532,Parque Dom Pedro Shopping
48407,835,2019-01-06,13,Chinelo Listrado,1,73,73,Parque Dom Pedro Shopping
48408,862,2019-01-06,13,Cinto Estampa,5,209,1045,Parque Dom Pedro Shopping
48409,878,2019-01-06,13,Gorro Xadrez,1,85,85,Parque Dom Pedro Shopping
48410,878,2019-01-06,13,Short Estampa,1,96,96,Parque Dom Pedro Shopping
48411,924,2019-01-06,13,Camisa Liso,1,105,105,Parque Dom Pedro Shopping
48412,996,2019-01-07,13,Bermuda Listrado,1,163,163,Parque Dom Pedro Shopping
48413,1075,2019-01-07,13,Camisa Listrado,2,108,216,Parque Dom Pedro Shopping
48414,1109,2019-01-07,13,Camisa Estampa,2,113,226,Parque Dom Pedro Shopping
48415,1123,2019-01-07,13,Terno Liso,2,720,1440,Parque Dom Pedro Shopping
48416,1249,2019-01-08,13,Tênis Estampa,1,256,256,Parque Dom Pedro Shopping
48417,1262,2019-01-08,13,Cueca Listrado,2,67,134,Parque Dom Pedro Shopping
48418,1262,2019-01-08,13,Tênis Xadrez,1,259,259,Parque Dom Pedro Shopping
48419,1292,2019-01-08,13,Calça Listrado,1,181,181,Parque Dom Pedro Shopping
48420,1292,2019-01-08,13,Gorro Linho,2,124,248,Parque Dom Pedro Shopping
48421,1292,2019-01-08,13,Mochila,1,270,270,Parque Dom Pedro Shopping
48422,1292,2019-01-08,13,Mochila,1,270,270,Parque Dom Pedro Shopping
48423,1294,2019-01-08,13,Gorro Listrado,2,97,194,Parque Dom Pedro Shopping
48424,1294,2019-01-08,13,Camiseta Liso,1,187,187,Parque Dom Pedro Shopping
48425,1324,2019-01-09,13,Cueca Liso,2,69,138,Parque Dom Pedro Shopping
48426,1324,2019-01-09,13,Camiseta Listrado,2,197,394,Parque Dom Pedro Shopping
48427,1340,2019-01-09,13,Cueca Liso,1,69,69,Parque Dom Pedro Shopping
48428,1340,2019-01-09,13,Sunga Linho,1,149,149,Parque Dom Pedro Shopping
48429,1365,2019-01-09,13,Camiseta Linho,1,223,223,Parque Dom Pedro Shopping
48430,1408,2019-01-09,13,Camiseta Listrado,5,197,985,Parque Dom Pedro Shopping
48431,1408,2019-01-09,13,Camisa Gola V Estampa,2,118,236,Parque Dom Pedro Shopping
48432,1408,2019-01-09,13,Bermuda Estampa,3,169,507,Parque Dom Pedro Shopping
48433,1408,2019-01-09,13,Pulseira Linho,3,114,342,Parque Dom Pedro Shopping
48434,1477,2019-01-09,13,Sunga Listrado,4,114,456,Parque Dom Pedro Shopping
48435,1477,2019-01-09,13,Sapato Listrado,4,363,1452,Parque Dom Pedro Shopping
48436,1477,2019-01-09,13,Gorro,5,80,400,Parque Dom Pedro Shopping
48437,1486,2019-01-09,13,Sapato Liso,2,368,736,Parque Dom Pedro Shopping
48438,1486,2019-01-09,13,Meia Liso,3,38,114,Parque Dom Pedro Shopping
48439,1486,2019-01-09,13,Pulseira Liso,4,87,348,Parque Dom Pedro Shopping
48440,1486,2019-01-09,13,Relógio Linho,1,240,240,Parque Dom Pedro Shopping
48441,1530,2019-01-10,13,Mochila Listrado,5,275,1375,Parque Dom Pedro Shopping
48442,1530,2019-01-10,13,Casaco Xadrez,1,259,259,Parque Dom Pedro Shopping
48443,1564,2019-01-10,13,Polo Xadrez,3,142,426,Parque Dom Pedro Shopping
48444,1564,2019-01-10,13,Sunga,4,100,400,Parque Dom Pedro Shopping
48445,1564,2019-01-10,13,Camiseta Xadrez,5,200,1000,Parque Dom Pedro Shopping
48446,1593,2019-01-10,13,Sapato,2,350,700,Parque Dom Pedro Shopping
48447,1599,2019-01-10,13,Calça Listrado,1,181,181,Parque Dom Pedro Shopping
48448,1599,2019-01-10,13,Calça Linho,1,211,211,Parque Dom Pedro Shopping
48449,1653,2019-01-10,13,Mochila Estampa,2,277,554,Parque Dom Pedro Shopping
48450,1653,2019-01-10,13,Tênis Linho,2,294,588,Parque Dom Pedro Shopping
48451,1659,2019-01-10,13,Sapato Estampa,2,358,716,Parque Dom Pedro Shopping
