,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
28491,10,2019-01-02,16,Camiseta Xadrez,2,200,400,Passei das Águas Shopping
28492,10,2019-01-02,16,Cueca Liso,1,69,69,Passei das Águas Shopping
28493,19,2019-01-02,16,Relógio Listrado,1,218,218,Passei das Águas Shopping
28494,19,2019-01-02,16,Calça Linho,2,211,422,Passei das Águas Shopping
28495,199,2019-01-02,16,Camiseta,2,180,360,Passei das Águas Shopping
28496,208,2019-01-03,16,Terno Linho,1,750,750,Passei das Águas Shopping
28497,237,2019-01-03,16,Sunga Listrado,1,114,114,Passei das Águas Shopping
28498,237,2019-01-03,16,Bermuda Linho,1,195,195,Passei das Águas Shopping
28499,251,2019-01-03,16,Sunga,2,100,200,Passei das Águas Shopping
28500,251,2019-01-03,16,Calça,1,170,170,Passei das Águas Shopping
28501,251,2019-01-03,16,Terno Liso,2,720,1440,Passei das Águas Shopping
28502,254,2019-01-03,16,Tênis Listrado,1,262,262,Passei das Águas Shopping
28503,254,2019-01-03,16,Gorro Xadrez,3,85,255,Passei das Águas Shopping
28504,254,2019-01-03,16,Polo Estampa,2,138,276,Passei das Águas Shopping
28505,254,2019-01-03,16,Short Estampa,1,96,96,Passei das Águas Shopping
28506,254,2019-01-03,16,Polo Estampa,1,138,138,Passei das Águas Shopping
28507,274,2019-01-03,16,Cueca Linho,1,93,93,Passei das Águas Shopping
28508,274,2019-01-03,16,Sunga Estampa,2,120,240,Passei das Águas Shopping
28509,295,2019-01-03,16,Sapato Estampa,3,358,1074,Passei das Águas Shopping
28510,295,2019-01-03,16,Gorro Listrado,3,97,291,Passei das Águas Shopping
28511,338,2019-01-03,16,Camisa Xadrez,4,105,420,Passei das Águas Shopping
28512,435,2019-01-04,16,Cinto Liso,2,209,418,Passei das Águas Shopping
28513,435,2019-01-04,16,Camisa Estampa,2,113,226,Passei das Águas Shopping
28514,435,2019-01-04,16,Sunga Estampa,1,120,120,Passei das Águas Shopping
28515,457,2019-01-04,16,Short,4,90,360,Passei das Águas Shopping
28516,461,2019-01-04,16,Cueca Xadrez,4,60,240,Passei das Águas Shopping
28517,461,2019-01-04,16,Sunga,2,100,200,Passei das Águas Shopping
28518,461,2019-01-04,16,Chinelo Linho,2,105,210,Passei das Águas Shopping
28519,506,2019-01-04,16,Pulseira Liso,3,87,261,Passei das Águas Shopping
28520,506,2019-01-04,16,Short,2,90,180,Passei das Águas Shopping
28521,510,2019-01-04,16,Pulseira Estampa,3,87,261,Passei das Águas Shopping
28522,510,2019-01-04,16,Camisa Gola V Xadrez,1,107,107,Passei das Águas Shopping
28523,510,2019-01-04,16,Cueca Linho,1,93,93,Passei das Águas Shopping
28524,514,2019-01-04,16,Tênis Linho,5,294,1470,Passei das Águas Shopping
28525,514,2019-01-04,16,Gorro,1,80,80,Passei das Águas Shopping
28526,514,2019-01-04,16,Pulseira Listrado,4,79,316,Passei das Águas Shopping
28527,545,2019-01-04,16,Gorro,5,80,400,Passei das Águas Shopping
28528,545,2019-01-04,16,Casaco Listrado,1,269,269,Passei das Águas Shopping
28529,545,2019-01-04,16,Terno,5,700,3500,Passei das Águas Shopping
28530,623,2019-01-05,16,Sapato Xadrez,4,368,1472,Passei das Águas Shopping
28531,623,2019-01-05,16,Camiseta Listrado,2,197,394,Passei das Águas Shopping
28532,634,2019-01-05,16,Tênis Listrado,1,262,262,Passei das Águas Shopping
28533,655,2019-01-05,16,Camisa Liso,3,105,315,Passei das Águas Shopping
28534,655,2019-01-05,16,Pulseira Linho,1,114,114,Passei das Águas Shopping
28535,655,2019-01-05,16,Calça Xadrez,3,185,555,Passei das Águas Shopping
28536,655,2019-01-05,16,Polo Xadrez,1,142,142,Passei das Águas Shopping
28537,688,2019-01-05,16,Short Listrado,5,102,510,Passei das Águas Shopping
28538,723,2019-01-05,16,Cueca Liso,1,69,69,Passei das Águas Shopping
28539,723,2019-01-05,16,Camisa Gola V Liso,2,118,236,Passei das Águas Shopping
