,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
84940,62,2019-01-02,11,Camisa Gola V Estampa,1,118,118,Ribeirão Shopping
84941,62,2019-01-02,11,Chinelo Estampa,2,74,148,Ribeirão Shopping
84942,84,2019-01-02,11,Pulseira Xadrez,5,87,435,Ribeirão Shopping
84943,84,2019-01-02,11,Sapato Liso,3,368,1104,Ribeirão Shopping
84944,84,2019-01-02,11,Calça,1,170,170,Ribeirão Shopping
84945,98,2019-01-02,11,Sunga Liso,3,114,342,Ribeirão Shopping
84946,127,2019-01-02,11,Camisa Estampa,2,113,226,Ribeirão Shopping
84947,127,2019-01-02,11,Short,1,90,90,Ribeirão Shopping
84948,131,2019-01-02,11,Bermuda Liso,4,157,628,Ribeirão Shopping
84949,163,2019-01-02,11,Mochila Estampa,5,277,1385,Ribeirão Shopping
84950,225,2019-01-03,11,Mochila Liso,3,276,828,Ribeirão Shopping
84951,225,2019-01-03,11,Polo Listrado,4,149,596,Ribeirão Shopping
84952,229,2019-01-03,11,Terno Xadrez,2,709,1418,Ribeirão Shopping
84953,229,2019-01-03,11,Sapato Estampa,4,358,1432,Ribeirão Shopping
84954,229,2019-01-03,11,Bermuda Liso,1,157,157,Ribeirão Shopping
84955,312,2019-01-03,11,Casaco Estampa,3,256,768,Ribeirão Shopping
84956,312,2019-01-03,11,Pulseira Xadrez,1,87,87,Ribeirão Shopping
84957,312,2019-01-03,11,Casaco Estampa,3,256,768,Ribeirão Shopping
84958,316,2019-01-03,11,Camiseta Xadrez,1,200,200,Ribeirão Shopping
84959,323,2019-01-03,11,Short,4,90,360,Ribeirão Shopping
84960,357,2019-01-03,11,Camisa Gola V Liso,2,118,236,Ribeirão Shopping
84961,357,2019-01-03,11,Cueca,4,50,200,Ribeirão Shopping
84962,363,2019-01-03,11,Polo Linho,4,176,704,Ribeirão Shopping
84963,363,2019-01-03,11,Relógio Estampa,5,219,1095,Ribeirão Shopping
84964,363,2019-01-03,11,Chinelo Listrado,2,73,146,Ribeirão Shopping
84965,363,2019-01-03,11,Polo Linho,5,176,880,Ribeirão Shopping
84966,363,2019-01-03,11,Sapato Linho,1,391,391,Ribeirão Shopping
84967,363,2019-01-03,11,Bermuda Listrado,1,163,163,Ribeirão Shopping
84968,363,2019-01-03,11,Camiseta Linho,1,223,223,Ribeirão Shopping
84969,364,2019-01-03,11,Bermuda Xadrez,3,155,465,Ribeirão Shopping
84970,364,2019-01-03,11,Gorro Xadrez,1,85,85,Ribeirão Shopping
84971,382,2019-01-03,11,Camisa,2,100,200,Ribeirão Shopping
84972,382,2019-01-03,11,Terno Estampa,1,706,706,Ribeirão Shopping
84973,422,2019-01-04,11,Chinelo,1,60,60,Ribeirão Shopping
84974,425,2019-01-04,11,Casaco Liso,2,255,510,Ribeirão Shopping
84975,454,2019-01-04,11,Terno Liso,1,720,720,Ribeirão Shopping
84976,467,2019-01-04,11,Cueca Linho,2,93,186,Ribeirão Shopping
84977,473,2019-01-04,11,Cueca,2,50,100,Ribeirão Shopping
84978,473,2019-01-04,11,Calça Listrado,1,181,181,Ribeirão Shopping
84979,473,2019-01-04,11,Meia Xadrez,2,41,82,Ribeirão Shopping
84980,505,2019-01-04,11,Bermuda Xadrez,2,155,310,Ribeirão Shopping
84981,516,2019-01-04,11,Camiseta Estampa,2,196,392,Ribeirão Shopping
84982,522,2019-01-04,11,Camisa Gola V Liso,2,118,236,Ribeirão Shopping
84983,522,2019-01-04,11,Gorro,1,80,80,Ribeirão Shopping
84984,614,2019-01-05,11,Sunga Estampa,5,120,600,Ribeirão Shopping
84985,614,2019-01-05,11,Short Estampa,2,96,192,Ribeirão Shopping
84986,614,2019-01-05,11,Tênis Liso,4,266,1064,Ribeirão Shopping
84987,660,2019-01-05,11,Sapato Linho,2,391,782,Ribeirão Shopping
84988,660,2019-01-05,11,Pulseira Linho,1,114,114,Ribeirão Shopping
84989,660,2019-01-05,11,Gorro Linho,1,124,124,Ribeirão Shopping
84990,660,2019-01-05,11,Bermuda,1,150,150,Ribeirão Shopping
84991,670,2019-01-05,11,Pulseira Xadrez,2,87,174,Ribeirão Shopping
84992,678,2019-01-05,11,Calça Liso,1,190,190,Ribeirão Shopping
84993,678,2019-01-05,11,Meia Linho,1,78,78,Ribeirão Shopping
84994,678,2019-01-05,11,Tênis Estampa,3,256,768,Ribeirão Shopping
84995,697,2019-01-05,11,Chinelo Linho,1,105,105,Ribeirão Shopping
84996,714,2019-01-05,11,Bermuda Xadrez,1,155,155,Ribeirão Shopping
84997,716,2019-01-05,11,Bermuda Listrado,4,163,652,Ribeirão Shopping
84998,739,2019-01-05,11,Camisa Gola V Linho,4,145,580,Ribeirão Shopping
84999,739,2019-01-05,11,Camisa Gola V Linho,1,145,145,Ribeirão Shopping
85000,739,2019-01-05,11,Cinto,1,200,200,Ribeirão Shopping
85001,739,2019-01-05,11,Calça Estampa,4,177,708,Ribeirão Shopping
85002,744,2019-01-05,11,Polo Listrado,1,149,149,Ribeirão Shopping
85003,744,2019-01-05,11,Cinto Liso,1,209,209,Ribeirão Shopping
85004,766,2019-01-06,11,Pulseira Liso,1,87,87,Ribeirão Shopping
85005,766,2019-01-06,11,Chinelo Listrado,2,73,146,Ribeirão Shopping
85006,777,2019-01-06,11,Chinelo Liso,5,71,355,Ribeirão Shopping
85007,777,2019-01-06,11,Chinelo Liso,2,71,142,Ribeirão Shopping
85008,795,2019-01-06,11,Cueca Linho,2,93,186,Ribeirão Shopping
85009,801,2019-01-06,11,Cueca Xadrez,1,60,60,Ribeirão Shopping
85010,801,2019-01-06,11,Short Listrado,1,102,102,Ribeirão Shopping
85011,844,2019-01-06,11,Mochila Xadrez,1,283,283,Ribeirão Shopping
85012,844,2019-01-06,11,Cinto Estampa,2,209,418,Ribeirão Shopping
85013,853,2019-01-06,11,Camiseta Liso,5,187,935,Ribeirão Shopping
85014,859,2019-01-06,11,Terno Xadrez,1,709,709,Ribeirão Shopping
85015,859,2019-01-06,11,Casaco Liso,1,255,255,Ribeirão Shopping
85016,859,2019-01-06,11,Camisa Linho,3,141,423,Ribeirão Shopping
85017,887,2019-01-06,11,Chinelo Estampa,3,74,222,Ribeirão Shopping
85018,887,2019-01-06,11,Sunga Listrado,3,114,342,Ribeirão Shopping
85019,887,2019-01-06,11,Tênis,2,250,500,Ribeirão Shopping
85020,973,2019-01-07,11,Sapato Linho,1,391,391,Ribeirão Shopping
85021,997,2019-01-07,11,Sapato Estampa,3,358,1074,Ribeirão Shopping
85022,997,2019-01-07,11,Camisa Gola V Estampa,2,118,236,Ribeirão Shopping
85023,1034,2019-01-07,11,Chinelo Estampa,3,74,222,Ribeirão Shopping
85024,1034,2019-01-07,11,Meia Listrado,1,37,37,Ribeirão Shopping
85025,1034,2019-01-07,11,Cinto Listrado,1,214,214,Ribeirão Shopping
85026,1046,2019-01-07,11,Mochila Xadrez,2,283,566,Ribeirão Shopping
85027,1046,2019-01-07,11,Terno Listrado,2,709,1418,Ribeirão Shopping
85028,1074,2019-01-07,11,Polo,1,130,130,Ribeirão Shopping
85029,1117,2019-01-07,11,Polo Xadrez,1,142,142,Ribeirão Shopping
85030,1170,2019-01-08,11,Calça Liso,1,190,190,Ribeirão Shopping
85031,1191,2019-01-08,11,Tênis Listrado,2,262,524,Ribeirão Shopping
85032,1191,2019-01-08,11,Cinto,1,200,200,Ribeirão Shopping
85033,1195,2019-01-08,11,Relógio Liso,1,216,216,Ribeirão Shopping
85034,1232,2019-01-08,11,Tênis Linho,5,294,1470,Ribeirão Shopping
85035,1232,2019-01-08,11,Pulseira,1,70,70,Ribeirão Shopping
85036,1275,2019-01-08,11,Meia Xadrez,2,41,82,Ribeirão Shopping
85037,1275,2019-01-08,11,Camisa Gola V Linho,3,145,435,Ribeirão Shopping
85038,1320,2019-01-08,11,Camiseta Liso,2,187,374,Ribeirão Shopping
85039,1320,2019-01-08,11,Camiseta Xadrez,1,200,200,Ribeirão Shopping
85040,1336,2019-01-09,11,Camisa Estampa,2,113,226,Ribeirão Shopping
85041,1336,2019-01-09,11,Sunga,2,100,200,Ribeirão Shopping
85042,1336,2019-01-09,11,Gorro Estampa,1,93,93,Ribeirão Shopping
85043,1372,2019-01-09,11,Tênis Liso,1,266,266,Ribeirão Shopping
85044,1372,2019-01-09,11,Sunga Estampa,2,120,240,Ribeirão Shopping
85045,1391,2019-01-09,11,Camiseta Listrado,4,197,788,Ribeirão Shopping
85046,1391,2019-01-09,11,Camisa Gola V Xadrez,2,107,214,Ribeirão Shopping
85047,1424,2019-01-09,11,Calça Liso,2,190,380,Ribeirão Shopping
85048,1484,2019-01-09,11,Camiseta Estampa,3,196,588,Ribeirão Shopping
85049,1484,2019-01-09,11,Terno Xadrez,1,709,709,Ribeirão Shopping
85050,1484,2019-01-09,11,Mochila Liso,5,276,1380,Ribeirão Shopping
85051,1488,2019-01-09,11,Calça Linho,1,211,211,Ribeirão Shopping
85052,1533,2019-01-10,11,Chinelo Estampa,2,74,148,Ribeirão Shopping
