,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
96969,81,2019-01-02,8,Cueca Xadrez,1,60,60,Salvador Shopping
96970,126,2019-01-02,8,Camisa Estampa,1,113,113,Salvador Shopping
96971,138,2019-01-02,8,Pulseira Linho,5,114,570,Salvador Shopping
96972,177,2019-01-02,8,Camisa Liso,2,105,210,Salvador Shopping
96973,194,2019-01-02,8,Camisa Gola V Linho,4,145,580,Salvador Shopping
96974,194,2019-01-02,8,Polo,1,130,130,Salvador Shopping
96975,194,2019-01-02,8,Terno Linho,1,750,750,Salvador Shopping
96976,345,2019-01-03,8,Meia Listrado,1,37,37,Salvador Shopping
96977,345,2019-01-03,8,Pulseira,5,70,350,Salvador Shopping
96978,428,2019-01-04,8,Polo,2,130,260,Salvador Shopping
96979,428,2019-01-04,8,Sapato Xadrez,2,368,736,Salvador Shopping
96980,443,2019-01-04,8,Cueca,4,50,200,Salvador Shopping
96981,443,2019-01-04,8,Terno Linho,3,750,2250,Salvador Shopping
96982,480,2019-01-04,8,Camisa Liso,3,105,315,Salvador Shopping
96983,480,2019-01-04,8,Meia Xadrez,2,41,82,Salvador Shopping
96984,492,2019-01-04,8,Camiseta Linho,1,223,223,Salvador Shopping
96985,538,2019-01-04,8,Cinto Xadrez,3,215,645,Salvador Shopping
96986,538,2019-01-04,8,Chinelo,1,60,60,Salvador Shopping
96987,538,2019-01-04,8,Polo Liso,3,137,411,Salvador Shopping
96988,588,2019-01-05,8,Polo Estampa,2,138,276,Salvador Shopping
96989,588,2019-01-05,8,Camisa,5,100,500,Salvador Shopping
96990,631,2019-01-05,8,Bermuda Xadrez,4,155,620,Salvador Shopping
96991,631,2019-01-05,8,Cinto Xadrez,1,215,215,Salvador Shopping
96992,631,2019-01-05,8,Relógio Listrado,5,218,1090,Salvador Shopping
96993,661,2019-01-05,8,Cinto Liso,1,209,209,Salvador Shopping
96994,661,2019-01-05,8,Gorro Estampa,2,93,186,Salvador Shopping
96995,698,2019-01-05,8,Cinto Estampa,3,209,627,Salvador Shopping
96996,698,2019-01-05,8,Short Xadrez,3,100,300,Salvador Shopping
96997,711,2019-01-05,8,Relógio,3,200,600,Salvador Shopping
96998,711,2019-01-05,8,Bermuda Liso,3,157,471,Salvador Shopping
96999,711,2019-01-05,8,Pulseira,1,70,70,Salvador Shopping
97000,711,2019-01-05,8,Gorro,2,80,160,Salvador Shopping
97001,740,2019-01-05,8,Short Estampa,1,96,96,Salvador Shopping
97002,740,2019-01-05,8,Cueca Liso,1,69,69,Salvador Shopping
97003,742,2019-01-05,8,Chinelo Listrado,3,73,219,Salvador Shopping
97004,798,2019-01-06,8,Cueca Estampa,1,66,66,Salvador Shopping
97005,798,2019-01-06,8,Camiseta Estampa,1,196,196,Salvador Shopping
97006,798,2019-01-06,8,Cinto Listrado,2,214,428,Salvador Shopping
97007,851,2019-01-06,8,Meia Estampa,2,50,100,Salvador Shopping
97008,851,2019-01-06,8,Short Listrado,2,102,204,Salvador Shopping
97009,851,2019-01-06,8,Cinto Liso,2,209,418,Salvador Shopping
97010,870,2019-01-06,8,Casaco Liso,1,255,255,Salvador Shopping
97011,870,2019-01-06,8,Camisa Gola V Linho,1,145,145,Salvador Shopping
97012,871,2019-01-06,8,Chinelo Xadrez,2,66,132,Salvador Shopping
97013,871,2019-01-06,8,Cueca Listrado,1,67,67,Salvador Shopping
97014,875,2019-01-06,8,Bermuda Xadrez,1,155,155,Salvador Shopping
97015,877,2019-01-06,8,Sunga Liso,1,114,114,Salvador Shopping
97016,879,2019-01-06,8,Terno Liso,3,720,2160,Salvador Shopping
97017,880,2019-01-06,8,Short,3,90,270,Salvador Shopping
97018,880,2019-01-06,8,Bermuda Xadrez,1,155,155,Salvador Shopping
97019,880,2019-01-06,8,Bermuda,3,150,450,Salvador Shopping
97020,880,2019-01-06,8,Relógio Listrado,5,218,1090,Salvador Shopping
97021,906,2019-01-06,8,Meia Listrado,4,37,148,Salvador Shopping
97022,921,2019-01-06,8,Relógio Xadrez,1,214,214,Salvador Shopping
97023,921,2019-01-06,8,Bermuda,1,150,150,Salvador Shopping
97024,931,2019-01-06,8,Camiseta Xadrez,1,200,200,Salvador Shopping
97025,931,2019-01-06,8,Mochila,4,270,1080,Salvador Shopping
97026,935,2019-01-06,8,Short Liso,1,108,108,Salvador Shopping
97027,935,2019-01-06,8,Meia Listrado,1,37,37,Salvador Shopping
97028,935,2019-01-06,8,Relógio Liso,5,216,1080,Salvador Shopping
97029,946,2019-01-07,8,Cinto Estampa,2,209,418,Salvador Shopping
97030,946,2019-01-07,8,Cinto Linho,1,248,248,Salvador Shopping
97031,950,2019-01-07,8,Tênis Linho,2,294,588,Salvador Shopping
97032,950,2019-01-07,8,Camiseta Estampa,1,196,196,Salvador Shopping
97033,950,2019-01-07,8,Terno Xadrez,1,709,709,Salvador Shopping
97034,950,2019-01-07,8,Relógio Liso,5,216,1080,Salvador Shopping
97035,960,2019-01-07,8,Gorro Xadrez,3,85,255,Salvador Shopping
97036,972,2019-01-07,8,Camisa,5,100,500,Salvador Shopping
97037,1015,2019-01-07,8,Chinelo,1,60,60,Salvador Shopping
97038,1015,2019-01-07,8,Sunga Estampa,1,120,120,Salvador Shopping
97039,1040,2019-01-07,8,Pulseira,1,70,70,Salvador Shopping
97040,1066,2019-01-07,8,Casaco Liso,3,255,765,Salvador Shopping
97041,1147,2019-01-08,8,Cueca,2,50,100,Salvador Shopping
97042,1147,2019-01-08,8,Cinto Liso,2,209,418,Salvador Shopping
97043,1198,2019-01-08,8,Casaco Listrado,2,269,538,Salvador Shopping
97044,1198,2019-01-08,8,Tênis Estampa,1,256,256,Salvador Shopping
97045,1218,2019-01-08,8,Sunga Xadrez,2,116,232,Salvador Shopping
97046,1319,2019-01-08,8,Calça Estampa,2,177,354,Salvador Shopping
97047,1319,2019-01-08,8,Gorro Estampa,3,93,279,Salvador Shopping
97048,1319,2019-01-08,8,Meia Liso,1,38,38,Salvador Shopping
97049,1402,2019-01-09,8,Short Linho,3,133,399,Salvador Shopping
97050,1405,2019-01-09,8,Cinto Xadrez,1,215,215,Salvador Shopping
97051,1405,2019-01-09,8,Gorro Linho,2,124,248,Salvador Shopping
97052,1409,2019-01-09,8,Gorro Listrado,2,97,194,Salvador Shopping
97053,1409,2019-01-09,8,Meia Xadrez,4,41,164,Salvador Shopping
97054,1417,2019-01-09,8,Camisa Gola V Estampa,1,118,118,Salvador Shopping
97055,1418,2019-01-09,8,Cueca,5,50,250,Salvador Shopping
97056,1418,2019-01-09,8,Relógio Listrado,2,218,436,Salvador Shopping
97057,1418,2019-01-09,8,Sapato Estampa,3,358,1074,Salvador Shopping
97058,1418,2019-01-09,8,Chinelo Listrado,1,73,73,Salvador Shopping
97059,1445,2019-01-09,8,Calça Xadrez,1,185,185,Salvador Shopping
97060,1447,2019-01-09,8,Polo Liso,1,137,137,Salvador Shopping
97061,1461,2019-01-09,8,Calça,3,170,510,Salvador Shopping
97062,1461,2019-01-09,8,Pulseira Listrado,5,79,395,Salvador Shopping
97063,1461,2019-01-09,8,Cueca,2,50,100,Salvador Shopping
97064,1472,2019-01-09,8,Polo,5,130,650,Salvador Shopping
97065,1472,2019-01-09,8,Terno Liso,1,720,720,Salvador Shopping
97066,1474,2019-01-09,8,Camisa Gola V Xadrez,1,107,107,Salvador Shopping
97067,1508,2019-01-10,8,Terno Listrado,2,709,1418,Salvador Shopping
97068,1508,2019-01-10,8,Terno Listrado,1,709,709,Salvador Shopping
97069,1531,2019-01-10,8,Sunga Liso,3,114,342,Salvador Shopping
97070,1531,2019-01-10,8,Casaco Estampa,2,256,512,Salvador Shopping
97071,1601,2019-01-10,8,Camisa,1,100,100,Salvador Shopping
97072,1618,2019-01-10,8,Calça Xadrez,2,185,370,Salvador Shopping
97073,1618,2019-01-10,8,Sunga Liso,3,114,342,Salvador Shopping
97074,1618,2019-01-10,8,Pulseira Estampa,1,87,87,Salvador Shopping
97075,1622,2019-01-10,8,Short Liso,4,108,432,Salvador Shopping
97076,1622,2019-01-10,8,Tênis Linho,1,294,294,Salvador Shopping
97077,1622,2019-01-10,8,Chinelo Liso,2,71,142,Salvador Shopping
97078,1622,2019-01-10,8,Casaco Liso,3,255,765,Salvador Shopping
97079,1622,2019-01-10,8,Meia Linho,1,78,78,Salvador Shopping
97080,1654,2019-01-10,8,Short Liso,2,108,216,Salvador Shopping
97081,1698,2019-01-11,8,Casaco,5,250,1250,Salvador Shopping
97082,1698,2019-01-11,8,Cueca,3,50,150,Salvador Shopping
97083,1704,2019-01-11,8,Cueca Xadrez,2,60,120,Salvador Shopping
97084,1718,2019-01-11,8,Chinelo Linho,2,105,210,Salvador Shopping
97085,1757,2019-01-11,8,Gorro Listrado,1,97,97,Salvador Shopping
97086,1757,2019-01-11,8,Tênis Xadrez,1,259,259,Salvador Shopping
97087,1829,2019-01-11,8,Tênis,1,250,250,Salvador Shopping
97088,1829,2019-01-11,8,Camisa Liso,2,105,210,Salvador Shopping
97089,1864,2019-01-11,8,Pulseira,2,70,140,Salvador Shopping
97090,1922,2019-01-12,8,Casaco,1,250,250,Salvador Shopping
97091,1922,2019-01-12,8,Mochila Linho,1,311,311,Salvador Shopping
97092,1922,2019-01-12,8,Meia,1,30,30,Salvador Shopping
97093,1923,2019-01-12,8,Short Xadrez,2,100,200,Salvador Shopping
97094,1965,2019-01-12,8,Polo,3,130,390,Salvador Shopping
97095,2126,2019-01-13,8,Polo Liso,3,137,411,Salvador Shopping
97096,2126,2019-01-13,8,Terno Estampa,1,706,706,Salvador Shopping
97097,2126,2019-01-13,8,Sunga Linho,2,149,298,Salvador Shopping
97098,2126,2019-01-13,8,Sunga Listrado,2,114,228,Salvador Shopping
97099,2208,2019-01-13,8,Chinelo Estampa,1,74,74,Salvador Shopping
97100,2208,2019-01-13,8,Gorro Liso,5,92,460,Salvador Shopping
97101,2235,2019-01-13,8,Camisa Gola V Estampa,5,118,590,Salvador Shopping
97102,2238,2019-01-13,8,Cinto Liso,2,209,418,Salvador Shopping
97103,2238,2019-01-13,8,Sapato Listrado,1,363,363,Salvador Shopping
97104,2246,2019-01-13,8,Polo Listrado,2,149,298,Salvador Shopping
97105,2246,2019-01-13,8,Meia,2,30,60,Salvador Shopping
97106,2246,2019-01-13,8,Meia Listrado,1,37,37,Salvador Shopping
97107,2246,2019-01-13,8,Pulseira Liso,2,87,174,Salvador Shopping
97108,2253,2019-01-13,8,Relógio,2,200,400,Salvador Shopping
97109,2269,2019-01-13,8,Terno,3,700,2100,Salvador Shopping
97110,2269,2019-01-13,8,Meia Xadrez,1,41,41,Salvador Shopping
97111,2308,2019-01-14,8,Relógio,1,200,200,Salvador Shopping
97112,2308,2019-01-14,8,Sunga Xadrez,1,116,116,Salvador Shopping
97113,2308,2019-01-14,8,Terno Listrado,3,709,2127,Salvador Shopping
97114,2426,2019-01-14,8,Polo Xadrez,3,142,426,Salvador Shopping
97115,2426,2019-01-14,8,Chinelo,1,60,60,Salvador Shopping
97116,2426,2019-01-14,8,Tênis Listrado,5,262,1310,Salvador Shopping
97117,2426,2019-01-14,8,Cueca,2,50,100,Salvador Shopping
97118,2483,2019-01-14,8,Bermuda Liso,2,157,314,Salvador Shopping
97119,2483,2019-01-14,8,Polo Liso,2,137,274,Salvador Shopping
97120,2513,2019-01-15,8,Casaco,4,250,1000,Salvador Shopping
97121,2513,2019-01-15,8,Camisa Listrado,4,108,432,Salvador Shopping
97122,2583,2019-01-15,8,Calça Linho,1,211,211,Salvador Shopping
97123,2635,2019-01-15,8,Bermuda,3,150,450,Salvador Shopping
97124,2693,2019-01-15,8,Cueca Linho,1,93,93,Salvador Shopping
97125,2693,2019-01-15,8,Meia,1,30,30,Salvador Shopping
97126,2697,2019-01-16,8,Sunga Xadrez,3,116,348,Salvador Shopping
97127,2740,2019-01-16,8,Gorro Xadrez,1,85,85,Salvador Shopping
97128,2740,2019-01-16,8,Terno Liso,2,720,1440,Salvador Shopping
97129,2772,2019-01-16,8,Tênis Estampa,1,256,256,Salvador Shopping
97130,2772,2019-01-16,8,Mochila,2,270,540,Salvador Shopping
97131,2772,2019-01-16,8,Short Estampa,1,96,96,Salvador Shopping
97132,2772,2019-01-16,8,Short Liso,1,108,108,Salvador Shopping
97133,2777,2019-01-16,8,Camisa Linho,1,141,141,Salvador Shopping
97134,2780,2019-01-16,8,Short,3,90,270,Salvador Shopping
97135,2780,2019-01-16,8,Camisa Gola V Listrado,4,116,464,Salvador Shopping
97136,2783,2019-01-16,8,Mochila Linho,4,311,1244,Salvador Shopping
97137,2792,2019-01-16,8,Terno Xadrez,1,709,709,Salvador Shopping
97138,2855,2019-01-16,8,Pulseira,5,70,350,Salvador Shopping
97139,2876,2019-01-16,8,Mochila Linho,4,311,1244,Salvador Shopping
97140,2878,2019-01-16,8,Camisa Listrado,1,108,108,Salvador Shopping
97141,2878,2019-01-16,8,Camisa Gola V Listrado,3,116,348,Salvador Shopping
97142,2885,2019-01-16,8,Camisa Estampa,2,113,226,Salvador Shopping
97143,2899,2019-01-16,8,Bermuda Liso,4,157,628,Salvador Shopping
97144,2899,2019-01-16,8,Calça Xadrez,1,185,185,Salvador Shopping
97145,2899,2019-01-16,8,Cueca Xadrez,2,60,120,Salvador Shopping
97146,2985,2019-01-17,8,Camisa Gola V,1,100,100,Salvador Shopping
97147,2997,2019-01-17,8,Camisa Gola V Estampa,4,118,472,Salvador Shopping
97148,3090,2019-01-18,8,Cinto Listrado,1,214,214,Salvador Shopping
97149,3090,2019-01-18,8,Casaco Estampa,2,256,512,Salvador Shopping
97150,3092,2019-01-18,8,Mochila Xadrez,2,283,566,Salvador Shopping
97151,3092,2019-01-18,8,Cueca Estampa,1,66,66,Salvador Shopping
97152,3092,2019-01-18,8,Casaco Estampa,2,256,512,Salvador Shopping
97153,3092,2019-01-18,8,Cueca Listrado,4,67,268,Salvador Shopping
97154,3095,2019-01-18,8,Terno Linho,1,750,750,Salvador Shopping
97155,3124,2019-01-18,8,Calça Xadrez,5,185,925,Salvador Shopping
97156,3124,2019-01-18,8,Pulseira Liso,1,87,87,Salvador Shopping
97157,3153,2019-01-18,8,Camisa Xadrez,1,105,105,Salvador Shopping
97158,3153,2019-01-18,8,Short Estampa,2,96,192,Salvador Shopping
97159,3168,2019-01-18,8,Tênis Estampa,1,256,256,Salvador Shopping
97160,3181,2019-01-18,8,Terno Listrado,3,709,2127,Salvador Shopping
97161,3224,2019-01-18,8,Sunga Xadrez,5,116,580,Salvador Shopping
97162,3224,2019-01-18,8,Camiseta Liso,1,187,187,Salvador Shopping
97163,3237,2019-01-18,8,Cinto Xadrez,5,215,1075,Salvador Shopping
97164,3250,2019-01-18,8,Camisa Liso,3,105,315,Salvador Shopping
97165,3279,2019-01-19,8,Tênis,4,250,1000,Salvador Shopping
97166,3279,2019-01-19,8,Polo Listrado,2,149,298,Salvador Shopping
97167,3286,2019-01-19,8,Terno Liso,1,720,720,Salvador Shopping
97168,3286,2019-01-19,8,Camiseta Listrado,2,197,394,Salvador Shopping
97169,3286,2019-01-19,8,Terno Linho,1,750,750,Salvador Shopping
97170,3311,2019-01-19,8,Chinelo Listrado,2,73,146,Salvador Shopping
97171,3311,2019-01-19,8,Camiseta Listrado,1,197,197,Salvador Shopping
97172,3351,2019-01-19,8,Polo Liso,2,137,274,Salvador Shopping
97173,3383,2019-01-19,8,Gorro Linho,3,124,372,Salvador Shopping
97174,3383,2019-01-19,8,Camisa Gola V Linho,1,145,145,Salvador Shopping
97175,3402,2019-01-19,8,Gorro Listrado,5,97,485,Salvador Shopping
97176,3402,2019-01-19,8,Meia Listrado,3,37,111,Salvador Shopping
97177,3484,2019-01-20,8,Pulseira Listrado,1,79,79,Salvador Shopping
