,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
24398,9,2019-01-02,10,Tênis Linho,1,294,294,Shopping Center Leste Aricanduva
24399,9,2019-01-02,10,Casaco Xadrez,2,259,518,Shopping Center Leste Aricanduva
24400,29,2019-01-02,10,Gorro Liso,4,92,368,Shopping Center Leste Aricanduva
24401,70,2019-01-02,10,Gorro Linho,2,124,248,Shopping Center Leste Aricanduva
24402,70,2019-01-02,10,Cueca Xadrez,1,60,60,Shopping Center Leste Aricanduva
24403,70,2019-01-02,10,Bermuda Listrado,1,163,163,Shopping Center Leste Aricanduva
24404,70,2019-01-02,10,Terno Linho,2,750,1500,Shopping Center Leste Aricanduva
24405,91,2019-01-02,10,Calça Xadrez,1,185,185,Shopping Center Leste Aricanduva
24406,119,2019-01-02,10,Calça Linho,2,211,422,Shopping Center Leste Aricanduva
24407,124,2019-01-02,10,Short Estampa,2,96,192,Shopping Center Leste Aricanduva
24408,124,2019-01-02,10,Gorro Estampa,5,93,465,Shopping Center Leste Aricanduva
24409,124,2019-01-02,10,Cueca Estampa,1,66,66,Shopping Center Leste Aricanduva
24410,124,2019-01-02,10,Meia Linho,4,78,312,Shopping Center Leste Aricanduva
24411,233,2019-01-03,10,Camisa Xadrez,2,105,210,Shopping Center Leste Aricanduva
24412,233,2019-01-03,10,Camisa Gola V Estampa,1,118,118,Shopping Center Leste Aricanduva
24413,233,2019-01-03,10,Cueca Estampa,3,66,198,Shopping Center Leste Aricanduva
24414,256,2019-01-03,10,Camisa Listrado,2,108,216,Shopping Center Leste Aricanduva
24415,332,2019-01-03,10,Cueca Linho,4,93,372,Shopping Center Leste Aricanduva
24416,332,2019-01-03,10,Relógio Liso,3,216,648,Shopping Center Leste Aricanduva
24417,332,2019-01-03,10,Chinelo Xadrez,2,66,132,Shopping Center Leste Aricanduva
24418,348,2019-01-03,10,Casaco Linho,1,299,299,Shopping Center Leste Aricanduva
24419,348,2019-01-03,10,Mochila,2,270,540,Shopping Center Leste Aricanduva
24420,348,2019-01-03,10,Meia Listrado,4,37,148,Shopping Center Leste Aricanduva
24421,366,2019-01-03,10,Sapato,1,350,350,Shopping Center Leste Aricanduva
24422,453,2019-01-04,10,Tênis Liso,3,266,798,Shopping Center Leste Aricanduva
24423,474,2019-01-04,10,Tênis,1,250,250,Shopping Center Leste Aricanduva
24424,476,2019-01-04,10,Sapato Xadrez,1,368,368,Shopping Center Leste Aricanduva
24425,476,2019-01-04,10,Terno Listrado,1,709,709,Shopping Center Leste Aricanduva
24426,476,2019-01-04,10,Cinto Listrado,2,214,428,Shopping Center Leste Aricanduva
24427,476,2019-01-04,10,Short Xadrez,2,100,200,Shopping Center Leste Aricanduva
24428,490,2019-01-04,10,Gorro,2,80,160,Shopping Center Leste Aricanduva
24429,490,2019-01-04,10,Meia Estampa,1,50,50,Shopping Center Leste Aricanduva
24430,490,2019-01-04,10,Bermuda,4,150,600,Shopping Center Leste Aricanduva
24431,525,2019-01-04,10,Polo Listrado,3,149,447,Shopping Center Leste Aricanduva
24432,525,2019-01-04,10,Chinelo,1,60,60,Shopping Center Leste Aricanduva
24433,525,2019-01-04,10,Meia Xadrez,5,41,205,Shopping Center Leste Aricanduva
24434,526,2019-01-04,10,Relógio Linho,1,240,240,Shopping Center Leste Aricanduva
24435,552,2019-01-04,10,Tênis Listrado,3,262,786,Shopping Center Leste Aricanduva
24436,647,2019-01-05,10,Camisa Linho,2,141,282,Shopping Center Leste Aricanduva
24437,647,2019-01-05,10,Calça Liso,1,190,190,Shopping Center Leste Aricanduva
24438,693,2019-01-05,10,Polo Estampa,3,138,414,Shopping Center Leste Aricanduva
24439,693,2019-01-05,10,Short,2,90,180,Shopping Center Leste Aricanduva
24440,708,2019-01-05,10,Cueca Estampa,5,66,330,Shopping Center Leste Aricanduva
24441,708,2019-01-05,10,Pulseira Estampa,1,87,87,Shopping Center Leste Aricanduva
24442,712,2019-01-05,10,Chinelo Listrado,1,73,73,Shopping Center Leste Aricanduva
24443,712,2019-01-05,10,Tênis Xadrez,1,259,259,Shopping Center Leste Aricanduva
24444,718,2019-01-05,10,Tênis Listrado,2,262,524,Shopping Center Leste Aricanduva
24445,718,2019-01-05,10,Gorro,3,80,240,Shopping Center Leste Aricanduva
24446,732,2019-01-05,10,Tênis Liso,1,266,266,Shopping Center Leste Aricanduva
24447,732,2019-01-05,10,Mochila Estampa,1,277,277,Shopping Center Leste Aricanduva
24448,732,2019-01-05,10,Sapato Liso,2,368,736,Shopping Center Leste Aricanduva
24449,732,2019-01-05,10,Casaco Linho,2,299,598,Shopping Center Leste Aricanduva
24450,763,2019-01-06,10,Camisa Gola V,3,100,300,Shopping Center Leste Aricanduva
24451,776,2019-01-06,10,Camisa Gola V Estampa,2,118,236,Shopping Center Leste Aricanduva
24452,776,2019-01-06,10,Short Listrado,3,102,306,Shopping Center Leste Aricanduva
24453,823,2019-01-06,10,Sunga Listrado,1,114,114,Shopping Center Leste Aricanduva
24454,823,2019-01-06,10,Camiseta Linho,1,223,223,Shopping Center Leste Aricanduva
24455,823,2019-01-06,10,Camisa Linho,1,141,141,Shopping Center Leste Aricanduva
24456,845,2019-01-06,10,Tênis,3,250,750,Shopping Center Leste Aricanduva
24457,845,2019-01-06,10,Camisa Listrado,1,108,108,Shopping Center Leste Aricanduva
24458,845,2019-01-06,10,Bermuda Linho,1,195,195,Shopping Center Leste Aricanduva
24459,860,2019-01-06,10,Casaco Xadrez,1,259,259,Shopping Center Leste Aricanduva
24460,888,2019-01-06,10,Cueca Liso,2,69,138,Shopping Center Leste Aricanduva
24461,888,2019-01-06,10,Polo Liso,1,137,137,Shopping Center Leste Aricanduva
24462,926,2019-01-06,10,Tênis Estampa,5,256,1280,Shopping Center Leste Aricanduva
24463,927,2019-01-06,10,Short Estampa,1,96,96,Shopping Center Leste Aricanduva
24464,927,2019-01-06,10,Cinto,1,200,200,Shopping Center Leste Aricanduva
24465,927,2019-01-06,10,Terno,4,700,2800,Shopping Center Leste Aricanduva
24466,927,2019-01-06,10,Chinelo Listrado,5,73,365,Shopping Center Leste Aricanduva
24467,955,2019-01-07,10,Camiseta Listrado,2,197,394,Shopping Center Leste Aricanduva
24468,955,2019-01-07,10,Chinelo Xadrez,1,66,66,Shopping Center Leste Aricanduva
24469,978,2019-01-07,10,Tênis,4,250,1000,Shopping Center Leste Aricanduva
24470,984,2019-01-07,10,Pulseira Xadrez,4,87,348,Shopping Center Leste Aricanduva
24471,1004,2019-01-07,10,Terno Listrado,4,709,2836,Shopping Center Leste Aricanduva
24472,1004,2019-01-07,10,Cueca Liso,2,69,138,Shopping Center Leste Aricanduva
24473,1006,2019-01-07,10,Bermuda Xadrez,2,155,310,Shopping Center Leste Aricanduva
24474,1006,2019-01-07,10,Meia Linho,2,78,156,Shopping Center Leste Aricanduva
24475,1068,2019-01-07,10,Camisa Listrado,2,108,216,Shopping Center Leste Aricanduva
24476,1100,2019-01-07,10,Meia Liso,2,38,76,Shopping Center Leste Aricanduva
24477,1103,2019-01-07,10,Camisa Estampa,2,113,226,Shopping Center Leste Aricanduva
24478,1103,2019-01-07,10,Relógio,3,200,600,Shopping Center Leste Aricanduva
24479,1103,2019-01-07,10,Relógio Xadrez,1,214,214,Shopping Center Leste Aricanduva
24480,1115,2019-01-07,10,Relógio Estampa,2,219,438,Shopping Center Leste Aricanduva
24481,1115,2019-01-07,10,Cinto Estampa,1,209,209,Shopping Center Leste Aricanduva
24482,1148,2019-01-08,10,Gorro Listrado,2,97,194,Shopping Center Leste Aricanduva
24483,1148,2019-01-08,10,Calça Listrado,1,181,181,Shopping Center Leste Aricanduva
24484,1148,2019-01-08,10,Sapato,1,350,350,Shopping Center Leste Aricanduva
24485,1160,2019-01-08,10,Camiseta Liso,3,187,561,Shopping Center Leste Aricanduva
24486,1160,2019-01-08,10,Camiseta Liso,2,187,374,Shopping Center Leste Aricanduva
24487,1160,2019-01-08,10,Camiseta Liso,1,187,187,Shopping Center Leste Aricanduva
24488,1178,2019-01-08,10,Sunga Listrado,1,114,114,Shopping Center Leste Aricanduva
24489,1182,2019-01-08,10,Relógio Xadrez,3,214,642,Shopping Center Leste Aricanduva
24490,1192,2019-01-08,10,Camisa Gola V Estampa,1,118,118,Shopping Center Leste Aricanduva
24491,1215,2019-01-08,10,Polo Linho,3,176,528,Shopping Center Leste Aricanduva
24492,1239,2019-01-08,10,Terno Estampa,1,706,706,Shopping Center Leste Aricanduva
24493,1239,2019-01-08,10,Meia Estampa,1,50,50,Shopping Center Leste Aricanduva
24494,1239,2019-01-08,10,Sunga Liso,2,114,228,Shopping Center Leste Aricanduva
24495,1239,2019-01-08,10,Terno Listrado,3,709,2127,Shopping Center Leste Aricanduva
24496,1308,2019-01-08,10,Terno Liso,2,720,1440,Shopping Center Leste Aricanduva
24497,1308,2019-01-08,10,Terno Estampa,3,706,2118,Shopping Center Leste Aricanduva
24498,1325,2019-01-09,10,Short Listrado,4,102,408,Shopping Center Leste Aricanduva
24499,1325,2019-01-09,10,Terno Listrado,2,709,1418,Shopping Center Leste Aricanduva
24500,1325,2019-01-09,10,Meia Liso,1,38,38,Shopping Center Leste Aricanduva
24501,1348,2019-01-09,10,Sapato Liso,1,368,368,Shopping Center Leste Aricanduva
24502,1350,2019-01-09,10,Camisa Gola V Xadrez,5,107,535,Shopping Center Leste Aricanduva
24503,1350,2019-01-09,10,Casaco Listrado,1,269,269,Shopping Center Leste Aricanduva
24504,1378,2019-01-09,10,Meia,1,30,30,Shopping Center Leste Aricanduva
24505,1379,2019-01-09,10,Casaco Estampa,5,256,1280,Shopping Center Leste Aricanduva
24506,1379,2019-01-09,10,Bermuda,3,150,450,Shopping Center Leste Aricanduva
24507,1393,2019-01-09,10,Pulseira,2,70,140,Shopping Center Leste Aricanduva
24508,1404,2019-01-09,10,Meia Liso,2,38,76,Shopping Center Leste Aricanduva
24509,1404,2019-01-09,10,Casaco Xadrez,4,259,1036,Shopping Center Leste Aricanduva
24510,1456,2019-01-09,10,Short Estampa,1,96,96,Shopping Center Leste Aricanduva
24511,1456,2019-01-09,10,Relógio Listrado,2,218,436,Shopping Center Leste Aricanduva
24512,1456,2019-01-09,10,Mochila Linho,1,311,311,Shopping Center Leste Aricanduva
24513,1487,2019-01-09,10,Tênis,3,250,750,Shopping Center Leste Aricanduva
24514,1492,2019-01-09,10,Pulseira,2,70,140,Shopping Center Leste Aricanduva
24515,1492,2019-01-09,10,Terno Estampa,4,706,2824,Shopping Center Leste Aricanduva
24516,1492,2019-01-09,10,Terno Estampa,1,706,706,Shopping Center Leste Aricanduva
24517,1552,2019-01-10,10,Camisa Linho,2,141,282,Shopping Center Leste Aricanduva
24518,1577,2019-01-10,10,Relógio,3,200,600,Shopping Center Leste Aricanduva
24519,1691,2019-01-11,10,Chinelo Xadrez,1,66,66,Shopping Center Leste Aricanduva
24520,1691,2019-01-11,10,Camisa Estampa,4,113,452,Shopping Center Leste Aricanduva
24521,1691,2019-01-11,10,Gorro Linho,1,124,124,Shopping Center Leste Aricanduva
24522,1691,2019-01-11,10,Chinelo Liso,2,71,142,Shopping Center Leste Aricanduva
24523,1691,2019-01-11,10,Casaco Listrado,4,269,1076,Shopping Center Leste Aricanduva
24524,1691,2019-01-11,10,Cinto Linho,1,248,248,Shopping Center Leste Aricanduva
24525,1700,2019-01-11,10,Terno Estampa,1,706,706,Shopping Center Leste Aricanduva
24526,1700,2019-01-11,10,Mochila Estampa,4,277,1108,Shopping Center Leste Aricanduva
24527,1748,2019-01-11,10,Pulseira Listrado,1,79,79,Shopping Center Leste Aricanduva
24528,1823,2019-01-11,10,Pulseira Listrado,1,79,79,Shopping Center Leste Aricanduva
24529,1823,2019-01-11,10,Chinelo Xadrez,2,66,132,Shopping Center Leste Aricanduva
24530,1847,2019-01-11,10,Sapato,1,350,350,Shopping Center Leste Aricanduva
24531,1847,2019-01-11,10,Camisa Listrado,2,108,216,Shopping Center Leste Aricanduva
24532,1874,2019-01-12,10,Sapato Estampa,5,358,1790,Shopping Center Leste Aricanduva
24533,1881,2019-01-12,10,Bermuda,2,150,300,Shopping Center Leste Aricanduva
24534,1881,2019-01-12,10,Gorro Xadrez,1,85,85,Shopping Center Leste Aricanduva
24535,1907,2019-01-12,10,Cinto Xadrez,1,215,215,Shopping Center Leste Aricanduva
24536,1907,2019-01-12,10,Terno Linho,1,750,750,Shopping Center Leste Aricanduva
