,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
60266,31,2019-01-02,21,Casaco Estampa,3,256,768,Shopping Eldorado
60267,31,2019-01-02,21,Pulseira,3,70,210,Shopping Eldorado
60268,31,2019-01-02,21,Gorro Linho,1,124,124,Shopping Eldorado
60269,31,2019-01-02,21,Cinto Linho,3,248,744,Shopping Eldorado
60270,40,2019-01-02,21,Bermuda Linho,1,195,195,Shopping Eldorado
60271,40,2019-01-02,21,Chinelo Estampa,1,74,74,Shopping Eldorado
60272,43,2019-01-02,21,Sunga Linho,1,149,149,Shopping Eldorado
60273,43,2019-01-02,21,Calça,1,170,170,Shopping Eldorado
60274,58,2019-01-02,21,Cinto Liso,2,209,418,Shopping Eldorado
60275,89,2019-01-02,21,Gorro Liso,1,92,92,Shopping Eldorado
60276,114,2019-01-02,21,Camiseta Linho,2,223,446,Shopping Eldorado
60277,146,2019-01-02,21,Pulseira Estampa,2,87,174,Shopping Eldorado
60278,146,2019-01-02,21,Casaco Xadrez,2,259,518,Shopping Eldorado
60279,146,2019-01-02,21,Cinto,1,200,200,Shopping Eldorado
60280,146,2019-01-02,21,Sapato Xadrez,4,368,1472,Shopping Eldorado
60281,154,2019-01-02,21,Terno Liso,1,720,720,Shopping Eldorado
60282,154,2019-01-02,21,Tênis Liso,1,266,266,Shopping Eldorado
60283,171,2019-01-02,21,Mochila Linho,2,311,622,Shopping Eldorado
60284,202,2019-01-02,21,Tênis Listrado,3,262,786,Shopping Eldorado
60285,202,2019-01-02,21,Camisa Gola V,2,100,200,Shopping Eldorado
60286,202,2019-01-02,21,Cinto Linho,1,248,248,Shopping Eldorado
60287,235,2019-01-03,21,Mochila Xadrez,2,283,566,Shopping Eldorado
60288,294,2019-01-03,21,Casaco Estampa,2,256,512,Shopping Eldorado
60289,294,2019-01-03,21,Gorro Estampa,1,93,93,Shopping Eldorado
60290,322,2019-01-03,21,Mochila,1,270,270,Shopping Eldorado
60291,330,2019-01-03,21,Bermuda Xadrez,3,155,465,Shopping Eldorado
60292,330,2019-01-03,21,Short Linho,1,133,133,Shopping Eldorado
60293,436,2019-01-04,21,Relógio Linho,3,240,720,Shopping Eldorado
60294,436,2019-01-04,21,Camiseta Estampa,2,196,392,Shopping Eldorado
60295,520,2019-01-04,21,Camisa Gola V Listrado,4,116,464,Shopping Eldorado
60296,520,2019-01-04,21,Polo Estampa,2,138,276,Shopping Eldorado
60297,520,2019-01-04,21,Tênis Xadrez,2,259,518,Shopping Eldorado
60298,550,2019-01-04,21,Pulseira Liso,1,87,87,Shopping Eldorado
60299,550,2019-01-04,21,Camisa Linho,2,141,282,Shopping Eldorado
60300,560,2019-01-04,21,Mochila Xadrez,1,283,283,Shopping Eldorado
60301,560,2019-01-04,21,Pulseira Listrado,3,79,237,Shopping Eldorado
60302,570,2019-01-05,21,Chinelo Xadrez,1,66,66,Shopping Eldorado
60303,579,2019-01-05,21,Polo Estampa,2,138,276,Shopping Eldorado
60304,579,2019-01-05,21,Gorro,3,80,240,Shopping Eldorado
60305,587,2019-01-05,21,Camisa Estampa,5,113,565,Shopping Eldorado
60306,587,2019-01-05,21,Relógio,2,200,400,Shopping Eldorado
60307,587,2019-01-05,21,Calça,1,170,170,Shopping Eldorado
60308,590,2019-01-05,21,Casaco Linho,5,299,1495,Shopping Eldorado
60309,590,2019-01-05,21,Sapato Liso,1,368,368,Shopping Eldorado
60310,602,2019-01-05,21,Mochila Estampa,3,277,831,Shopping Eldorado
60311,602,2019-01-05,21,Terno Listrado,1,709,709,Shopping Eldorado
60312,625,2019-01-05,21,Casaco Linho,5,299,1495,Shopping Eldorado
60313,625,2019-01-05,21,Sunga Listrado,2,114,228,Shopping Eldorado
60314,629,2019-01-05,21,Camiseta Xadrez,1,200,200,Shopping Eldorado
60315,629,2019-01-05,21,Tênis,1,250,250,Shopping Eldorado
60316,639,2019-01-05,21,Mochila Estampa,1,277,277,Shopping Eldorado
60317,786,2019-01-06,21,Tênis Linho,1,294,294,Shopping Eldorado
60318,792,2019-01-06,21,Calça,3,170,510,Shopping Eldorado
60319,815,2019-01-06,21,Chinelo Estampa,1,74,74,Shopping Eldorado
60320,819,2019-01-06,21,Bermuda Xadrez,2,155,310,Shopping Eldorado
60321,819,2019-01-06,21,Mochila Xadrez,1,283,283,Shopping Eldorado
60322,866,2019-01-06,21,Cueca Linho,5,93,465,Shopping Eldorado
60323,901,2019-01-06,21,Meia Linho,1,78,78,Shopping Eldorado
60324,909,2019-01-06,21,Cueca Xadrez,1,60,60,Shopping Eldorado
60325,916,2019-01-06,21,Mochila,2,270,540,Shopping Eldorado
60326,934,2019-01-06,21,Calça Listrado,1,181,181,Shopping Eldorado
60327,934,2019-01-06,21,Camiseta Xadrez,2,200,400,Shopping Eldorado
60328,934,2019-01-06,21,Short,1,90,90,Shopping Eldorado
60329,1086,2019-01-07,21,Calça,2,170,340,Shopping Eldorado
60330,1087,2019-01-07,21,Cinto Estampa,3,209,627,Shopping Eldorado
60331,1128,2019-01-08,21,Cinto Estampa,3,209,627,Shopping Eldorado
60332,1128,2019-01-08,21,Camiseta Liso,1,187,187,Shopping Eldorado
60333,1128,2019-01-08,21,Casaco Listrado,1,269,269,Shopping Eldorado
60334,1128,2019-01-08,21,Casaco Estampa,1,256,256,Shopping Eldorado
60335,1168,2019-01-08,21,Sunga,1,100,100,Shopping Eldorado
60336,1224,2019-01-08,21,Camiseta Linho,3,223,669,Shopping Eldorado
60337,1224,2019-01-08,21,Polo,1,130,130,Shopping Eldorado
60338,1264,2019-01-08,21,Cinto Listrado,2,214,428,Shopping Eldorado
60339,1280,2019-01-08,21,Meia Listrado,5,37,185,Shopping Eldorado
60340,1280,2019-01-08,21,Sapato Linho,2,391,782,Shopping Eldorado
60341,1293,2019-01-08,21,Bermuda,3,150,450,Shopping Eldorado
60342,1293,2019-01-08,21,Sunga Listrado,3,114,342,Shopping Eldorado
60343,1338,2019-01-09,21,Meia Linho,2,78,156,Shopping Eldorado
60344,1338,2019-01-09,21,Meia Estampa,1,50,50,Shopping Eldorado
60345,1338,2019-01-09,21,Pulseira Liso,5,87,435,Shopping Eldorado
60346,1338,2019-01-09,21,Mochila Estampa,5,277,1385,Shopping Eldorado
60347,1344,2019-01-09,21,Mochila Listrado,5,275,1375,Shopping Eldorado
60348,1344,2019-01-09,21,Gorro Listrado,1,97,97,Shopping Eldorado
60349,1364,2019-01-09,21,Camisa Gola V Liso,2,118,236,Shopping Eldorado
60350,1364,2019-01-09,21,Sapato Linho,5,391,1955,Shopping Eldorado
60351,1385,2019-01-09,21,Gorro Linho,2,124,248,Shopping Eldorado
60352,1385,2019-01-09,21,Mochila Estampa,1,277,277,Shopping Eldorado
60353,1385,2019-01-09,21,Sapato,1,350,350,Shopping Eldorado
60354,1438,2019-01-09,21,Relógio Xadrez,5,214,1070,Shopping Eldorado
60355,1438,2019-01-09,21,Cueca,1,50,50,Shopping Eldorado
60356,1479,2019-01-09,21,Short Linho,1,133,133,Shopping Eldorado
60357,1479,2019-01-09,21,Sapato Listrado,3,363,1089,Shopping Eldorado
60358,1502,2019-01-10,21,Terno Listrado,1,709,709,Shopping Eldorado
60359,1502,2019-01-10,21,Terno Xadrez,1,709,709,Shopping Eldorado
60360,1502,2019-01-10,21,Sapato,1,350,350,Shopping Eldorado
60361,1518,2019-01-10,21,Mochila,1,270,270,Shopping Eldorado
60362,1518,2019-01-10,21,Relógio Xadrez,1,214,214,Shopping Eldorado
60363,1518,2019-01-10,21,Camisa Estampa,2,113,226,Shopping Eldorado
60364,1521,2019-01-10,21,Meia Estampa,2,50,100,Shopping Eldorado
60365,1549,2019-01-10,21,Pulseira Liso,3,87,261,Shopping Eldorado
60366,1549,2019-01-10,21,Cinto Xadrez,1,215,215,Shopping Eldorado
60367,1567,2019-01-10,21,Pulseira Listrado,2,79,158,Shopping Eldorado
60368,1567,2019-01-10,21,Camisa Gola V Liso,1,118,118,Shopping Eldorado
60369,1582,2019-01-10,21,Polo Listrado,4,149,596,Shopping Eldorado
60370,1585,2019-01-10,21,Camisa Gola V Xadrez,1,107,107,Shopping Eldorado
60371,1585,2019-01-10,21,Meia Liso,1,38,38,Shopping Eldorado
60372,1624,2019-01-10,21,Sapato Estampa,1,358,358,Shopping Eldorado
60373,1624,2019-01-10,21,Sunga Xadrez,1,116,116,Shopping Eldorado
60374,1624,2019-01-10,21,Cinto Linho,4,248,992,Shopping Eldorado
60375,1624,2019-01-10,21,Terno Liso,4,720,2880,Shopping Eldorado
60376,1624,2019-01-10,21,Chinelo,1,60,60,Shopping Eldorado
60377,1624,2019-01-10,21,Relógio Listrado,2,218,436,Shopping Eldorado
60378,1639,2019-01-10,21,Mochila Estampa,1,277,277,Shopping Eldorado
60379,1690,2019-01-11,21,Pulseira Liso,4,87,348,Shopping Eldorado
60380,1690,2019-01-11,21,Short Listrado,3,102,306,Shopping Eldorado
60381,1690,2019-01-11,21,Sapato,1,350,350,Shopping Eldorado
60382,1706,2019-01-11,21,Camiseta Linho,3,223,669,Shopping Eldorado
60383,1706,2019-01-11,21,Calça Liso,4,190,760,Shopping Eldorado
60384,1706,2019-01-11,21,Camiseta Linho,4,223,892,Shopping Eldorado
60385,1706,2019-01-11,21,Bermuda Linho,3,195,585,Shopping Eldorado
60386,1706,2019-01-11,21,Pulseira Linho,2,114,228,Shopping Eldorado
60387,1752,2019-01-11,21,Short Linho,2,133,266,Shopping Eldorado
60388,1759,2019-01-11,21,Meia,2,30,60,Shopping Eldorado
60389,1790,2019-01-11,21,Tênis,1,250,250,Shopping Eldorado
60390,1790,2019-01-11,21,Sunga Liso,4,114,456,Shopping Eldorado
60391,1817,2019-01-11,21,Short Linho,1,133,133,Shopping Eldorado
60392,1817,2019-01-11,21,Bermuda Liso,3,157,471,Shopping Eldorado
60393,1844,2019-01-11,21,Meia Listrado,2,37,74,Shopping Eldorado
60394,1851,2019-01-11,21,Gorro Xadrez,3,85,255,Shopping Eldorado
60395,1898,2019-01-12,21,Sapato Linho,2,391,782,Shopping Eldorado
60396,1898,2019-01-12,21,Pulseira Liso,1,87,87,Shopping Eldorado
60397,2007,2019-01-12,21,Calça Xadrez,2,185,370,Shopping Eldorado
60398,2016,2019-01-12,21,Meia,3,30,90,Shopping Eldorado
60399,2063,2019-01-12,21,Polo,4,130,520,Shopping Eldorado
60400,2063,2019-01-12,21,Polo Xadrez,1,142,142,Shopping Eldorado
60401,2063,2019-01-12,21,Casaco Estampa,1,256,256,Shopping Eldorado
60402,2074,2019-01-12,21,Relógio Linho,1,240,240,Shopping Eldorado
60403,2074,2019-01-12,21,Camisa Gola V Listrado,1,116,116,Shopping Eldorado
60404,2125,2019-01-13,21,Sunga Xadrez,5,116,580,Shopping Eldorado
60405,2125,2019-01-13,21,Mochila Listrado,1,275,275,Shopping Eldorado
60406,2136,2019-01-13,21,Terno Linho,2,750,1500,Shopping Eldorado
60407,2146,2019-01-13,21,Casaco,2,250,500,Shopping Eldorado
60408,2146,2019-01-13,21,Short Linho,1,133,133,Shopping Eldorado
60409,2157,2019-01-13,21,Casaco Xadrez,1,259,259,Shopping Eldorado
60410,2174,2019-01-13,21,Mochila Estampa,5,277,1385,Shopping Eldorado
60411,2174,2019-01-13,21,Chinelo Estampa,4,74,296,Shopping Eldorado
60412,2225,2019-01-13,21,Tênis Estampa,1,256,256,Shopping Eldorado
60413,2290,2019-01-14,21,Cueca,2,50,100,Shopping Eldorado
60414,2290,2019-01-14,21,Chinelo Estampa,2,74,148,Shopping Eldorado
60415,2389,2019-01-14,21,Bermuda Liso,1,157,157,Shopping Eldorado
60416,2423,2019-01-14,21,Cueca Xadrez,2,60,120,Shopping Eldorado
60417,2423,2019-01-14,21,Mochila Xadrez,2,283,566,Shopping Eldorado
60418,2452,2019-01-14,21,Short Estampa,1,96,96,Shopping Eldorado
60419,2452,2019-01-14,21,Relógio Linho,2,240,480,Shopping Eldorado
60420,2460,2019-01-14,21,Bermuda Listrado,2,163,326,Shopping Eldorado
60421,2460,2019-01-14,21,Calça Estampa,4,177,708,Shopping Eldorado
60422,2460,2019-01-14,21,Gorro,4,80,320,Shopping Eldorado
60423,2493,2019-01-15,21,Cueca Linho,5,93,465,Shopping Eldorado
60424,2510,2019-01-15,21,Calça Liso,2,190,380,Shopping Eldorado
60425,2547,2019-01-15,21,Mochila Listrado,2,275,550,Shopping Eldorado
