,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
16239,6,2019-01-02,22,Polo Listrado,4,149,596,Shopping Ibirapuera
16240,44,2019-01-02,22,Calça,2,170,340,Shopping Ibirapuera
16241,44,2019-01-02,22,Camisa Listrado,1,108,108,Shopping Ibirapuera
16242,44,2019-01-02,22,Camisa Liso,2,105,210,Shopping Ibirapuera
16243,69,2019-01-02,22,Meia Xadrez,1,41,41,Shopping Ibirapuera
16244,69,2019-01-02,22,Gorro Listrado,3,97,291,Shopping Ibirapuera
16245,158,2019-01-02,22,Cueca Listrado,2,67,134,Shopping Ibirapuera
16246,158,2019-01-02,22,Calça Linho,1,211,211,Shopping Ibirapuera
16247,169,2019-01-02,22,Short Listrado,2,102,204,Shopping Ibirapuera
16248,169,2019-01-02,22,Sapato Estampa,5,358,1790,Shopping Ibirapuera
16249,169,2019-01-02,22,Meia Liso,1,38,38,Shopping Ibirapuera
16250,239,2019-01-03,22,Chinelo,1,60,60,Shopping Ibirapuera
16251,239,2019-01-03,22,Polo Estampa,3,138,414,Shopping Ibirapuera
16252,278,2019-01-03,22,Gorro Xadrez,3,85,255,Shopping Ibirapuera
16253,278,2019-01-03,22,Camisa Gola V Listrado,2,116,232,Shopping Ibirapuera
16254,320,2019-01-03,22,Casaco Liso,1,255,255,Shopping Ibirapuera
16255,320,2019-01-03,22,Cinto Liso,2,209,418,Shopping Ibirapuera
16256,320,2019-01-03,22,Bermuda Xadrez,1,155,155,Shopping Ibirapuera
16257,326,2019-01-03,22,Terno,2,700,1400,Shopping Ibirapuera
16258,326,2019-01-03,22,Gorro,2,80,160,Shopping Ibirapuera
16259,334,2019-01-03,22,Camiseta Listrado,3,197,591,Shopping Ibirapuera
16260,334,2019-01-03,22,Gorro Liso,4,92,368,Shopping Ibirapuera
16261,344,2019-01-03,22,Bermuda,1,150,150,Shopping Ibirapuera
16262,351,2019-01-03,22,Meia Estampa,4,50,200,Shopping Ibirapuera
16263,391,2019-01-03,22,Terno Linho,2,750,1500,Shopping Ibirapuera
16264,391,2019-01-03,22,Camisa Estampa,1,113,113,Shopping Ibirapuera
16265,391,2019-01-03,22,Calça Estampa,2,177,354,Shopping Ibirapuera
16266,391,2019-01-03,22,Mochila Listrado,2,275,550,Shopping Ibirapuera
16267,391,2019-01-03,22,Sunga Linho,1,149,149,Shopping Ibirapuera
16268,391,2019-01-03,22,Polo Xadrez,1,142,142,Shopping Ibirapuera
16269,419,2019-01-04,22,Chinelo Liso,4,71,284,Shopping Ibirapuera
16270,419,2019-01-04,22,Polo Listrado,1,149,149,Shopping Ibirapuera
16271,433,2019-01-04,22,Camisa Gola V Listrado,1,116,116,Shopping Ibirapuera
16272,433,2019-01-04,22,Camisa Xadrez,3,105,315,Shopping Ibirapuera
16273,433,2019-01-04,22,Mochila Liso,1,276,276,Shopping Ibirapuera
16274,433,2019-01-04,22,Sapato Estampa,1,358,358,Shopping Ibirapuera
16275,463,2019-01-04,22,Sapato Linho,1,391,391,Shopping Ibirapuera
16276,470,2019-01-04,22,Sapato Listrado,2,363,726,Shopping Ibirapuera
16277,495,2019-01-04,22,Short Estampa,2,96,192,Shopping Ibirapuera
16278,497,2019-01-04,22,Relógio Liso,2,216,432,Shopping Ibirapuera
16279,558,2019-01-04,22,Relógio Linho,2,240,480,Shopping Ibirapuera
16280,558,2019-01-04,22,Short Liso,1,108,108,Shopping Ibirapuera
16281,558,2019-01-04,22,Mochila Estampa,3,277,831,Shopping Ibirapuera
16282,573,2019-01-05,22,Relógio Listrado,1,218,218,Shopping Ibirapuera
16283,604,2019-01-05,22,Chinelo,2,60,120,Shopping Ibirapuera
16284,621,2019-01-05,22,Bermuda Liso,1,157,157,Shopping Ibirapuera
16285,674,2019-01-05,22,Tênis Linho,2,294,588,Shopping Ibirapuera
16286,686,2019-01-05,22,Camisa Listrado,3,108,324,Shopping Ibirapuera
16287,794,2019-01-06,22,Terno Listrado,3,709,2127,Shopping Ibirapuera
16288,794,2019-01-06,22,Camisa Liso,3,105,315,Shopping Ibirapuera
16289,854,2019-01-06,22,Pulseira,2,70,140,Shopping Ibirapuera
16290,854,2019-01-06,22,Mochila Estampa,1,277,277,Shopping Ibirapuera
