,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
88988,71,2019-01-02,4,Relógio,4,200,800,Shopping Iguatemi Fortaleza
88989,71,2019-01-02,4,Relógio Listrado,4,218,872,Shopping Iguatemi Fortaleza
88990,111,2019-01-02,4,Cueca Liso,2,69,138,Shopping Iguatemi Fortaleza
88991,187,2019-01-02,4,Short Liso,2,108,216,Shopping Iguatemi Fortaleza
88992,248,2019-01-03,4,Pulseira Liso,2,87,174,Shopping Iguatemi Fortaleza
88993,248,2019-01-03,4,Calça Estampa,1,177,177,Shopping Iguatemi Fortaleza
88994,253,2019-01-03,4,Tênis Listrado,2,262,524,Shopping Iguatemi Fortaleza
88995,253,2019-01-03,4,Cueca Estampa,1,66,66,Shopping Iguatemi Fortaleza
88996,260,2019-01-03,4,Cueca,4,50,200,Shopping Iguatemi Fortaleza
88997,309,2019-01-03,4,Casaco Liso,1,255,255,Shopping Iguatemi Fortaleza
88998,309,2019-01-03,4,Camisa Listrado,2,108,216,Shopping Iguatemi Fortaleza
88999,397,2019-01-04,4,Camisa,2,100,200,Shopping Iguatemi Fortaleza
89000,406,2019-01-04,4,Gorro Liso,1,92,92,Shopping Iguatemi Fortaleza
89001,406,2019-01-04,4,Mochila Estampa,2,277,554,Shopping Iguatemi Fortaleza
89002,465,2019-01-04,4,Terno Liso,2,720,1440,Shopping Iguatemi Fortaleza
89003,465,2019-01-04,4,Sapato,2,350,700,Shopping Iguatemi Fortaleza
89004,465,2019-01-04,4,Sapato Estampa,2,358,716,Shopping Iguatemi Fortaleza
89005,477,2019-01-04,4,Mochila Estampa,2,277,554,Shopping Iguatemi Fortaleza
89006,477,2019-01-04,4,Mochila Xadrez,2,283,566,Shopping Iguatemi Fortaleza
89007,507,2019-01-04,4,Sunga Listrado,3,114,342,Shopping Iguatemi Fortaleza
89008,547,2019-01-04,4,Cinto Listrado,3,214,642,Shopping Iguatemi Fortaleza
89009,549,2019-01-04,4,Sapato,5,350,1750,Shopping Iguatemi Fortaleza
89010,549,2019-01-04,4,Terno,1,700,700,Shopping Iguatemi Fortaleza
89011,576,2019-01-05,4,Calça Linho,1,211,211,Shopping Iguatemi Fortaleza
89012,586,2019-01-05,4,Pulseira Xadrez,2,87,174,Shopping Iguatemi Fortaleza
89013,586,2019-01-05,4,Sunga Linho,1,149,149,Shopping Iguatemi Fortaleza
89014,619,2019-01-05,4,Camisa Gola V Linho,1,145,145,Shopping Iguatemi Fortaleza
89015,649,2019-01-05,4,Casaco Xadrez,2,259,518,Shopping Iguatemi Fortaleza
89016,649,2019-01-05,4,Terno Listrado,4,709,2836,Shopping Iguatemi Fortaleza
89017,726,2019-01-05,4,Sapato Listrado,1,363,363,Shopping Iguatemi Fortaleza
89018,726,2019-01-05,4,Meia,1,30,30,Shopping Iguatemi Fortaleza
89019,738,2019-01-05,4,Relógio,4,200,800,Shopping Iguatemi Fortaleza
89020,738,2019-01-05,4,Sapato Listrado,4,363,1452,Shopping Iguatemi Fortaleza
89021,738,2019-01-05,4,Calça Estampa,2,177,354,Shopping Iguatemi Fortaleza
89022,738,2019-01-05,4,Camisa Gola V Linho,5,145,725,Shopping Iguatemi Fortaleza
89023,761,2019-01-06,4,Cinto Listrado,4,214,856,Shopping Iguatemi Fortaleza
89024,855,2019-01-06,4,Mochila Xadrez,1,283,283,Shopping Iguatemi Fortaleza
89025,855,2019-01-06,4,Pulseira,1,70,70,Shopping Iguatemi Fortaleza
89026,855,2019-01-06,4,Calça Xadrez,3,185,555,Shopping Iguatemi Fortaleza
89027,953,2019-01-07,4,Tênis,1,250,250,Shopping Iguatemi Fortaleza
89028,953,2019-01-07,4,Polo Linho,4,176,704,Shopping Iguatemi Fortaleza
89029,966,2019-01-07,4,Bermuda,3,150,450,Shopping Iguatemi Fortaleza
89030,966,2019-01-07,4,Sunga Estampa,1,120,120,Shopping Iguatemi Fortaleza
89031,987,2019-01-07,4,Camisa Gola V,1,100,100,Shopping Iguatemi Fortaleza
89032,987,2019-01-07,4,Sunga,3,100,300,Shopping Iguatemi Fortaleza
89033,987,2019-01-07,4,Meia Liso,5,38,190,Shopping Iguatemi Fortaleza
89034,998,2019-01-07,4,Short Xadrez,2,100,200,Shopping Iguatemi Fortaleza
89035,998,2019-01-07,4,Calça Estampa,3,177,531,Shopping Iguatemi Fortaleza
89036,1041,2019-01-07,4,Calça Xadrez,2,185,370,Shopping Iguatemi Fortaleza
89037,1041,2019-01-07,4,Sunga,2,100,200,Shopping Iguatemi Fortaleza
89038,1081,2019-01-07,4,Camiseta Listrado,5,197,985,Shopping Iguatemi Fortaleza
89039,1081,2019-01-07,4,Casaco Xadrez,2,259,518,Shopping Iguatemi Fortaleza
89040,1089,2019-01-07,4,Terno Linho,2,750,1500,Shopping Iguatemi Fortaleza
89041,1164,2019-01-08,4,Camiseta Estampa,5,196,980,Shopping Iguatemi Fortaleza
89042,1216,2019-01-08,4,Gorro,1,80,80,Shopping Iguatemi Fortaleza
89043,1216,2019-01-08,4,Terno Xadrez,1,709,709,Shopping Iguatemi Fortaleza
89044,1222,2019-01-08,4,Bermuda Liso,1,157,157,Shopping Iguatemi Fortaleza
89045,1233,2019-01-08,4,Polo Xadrez,3,142,426,Shopping Iguatemi Fortaleza
89046,1233,2019-01-08,4,Terno Xadrez,3,709,2127,Shopping Iguatemi Fortaleza
89047,1252,2019-01-08,4,Casaco Estampa,1,256,256,Shopping Iguatemi Fortaleza
89048,1274,2019-01-08,4,Terno Xadrez,2,709,1418,Shopping Iguatemi Fortaleza
89049,1318,2019-01-08,4,Sapato Estampa,1,358,358,Shopping Iguatemi Fortaleza
89050,1318,2019-01-08,4,Casaco Liso,3,255,765,Shopping Iguatemi Fortaleza
89051,1318,2019-01-08,4,Calça Liso,1,190,190,Shopping Iguatemi Fortaleza
89052,1334,2019-01-09,4,Terno Liso,2,720,1440,Shopping Iguatemi Fortaleza
89053,1334,2019-01-09,4,Meia Liso,1,38,38,Shopping Iguatemi Fortaleza
