,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
36382,12,2019-01-02,2,Short Xadrez,4,100,400,Shopping Midway Mall
36383,12,2019-01-02,2,Sunga Liso,2,114,228,Shopping Midway Mall
36384,33,2019-01-02,2,Camisa,1,100,100,Shopping Midway Mall
36385,33,2019-01-02,2,Meia Xadrez,3,41,123,Shopping Midway Mall
36386,48,2019-01-02,2,Cueca Linho,2,93,186,Shopping Midway Mall
36387,104,2019-01-02,2,Camisa,1,100,100,Shopping Midway Mall
36388,118,2019-01-02,2,Sunga Listrado,2,114,228,Shopping Midway Mall
36389,118,2019-01-02,2,Polo Estampa,1,138,138,Shopping Midway Mall
36390,118,2019-01-02,2,Tênis Linho,2,294,588,Shopping Midway Mall
36391,121,2019-01-02,2,Polo Xadrez,1,142,142,Shopping Midway Mall
36392,121,2019-01-02,2,Tênis Xadrez,1,259,259,Shopping Midway Mall
36393,125,2019-01-02,2,Polo Listrado,1,149,149,Shopping Midway Mall
36394,162,2019-01-02,2,Cinto Liso,3,209,627,Shopping Midway Mall
36395,172,2019-01-02,2,Short,3,90,270,Shopping Midway Mall
36396,172,2019-01-02,2,Terno Linho,4,750,3000,Shopping Midway Mall
36397,207,2019-01-03,2,Tênis Xadrez,2,259,518,Shopping Midway Mall
36398,217,2019-01-03,2,Calça Listrado,1,181,181,Shopping Midway Mall
36399,308,2019-01-03,2,Camisa Gola V Xadrez,3,107,321,Shopping Midway Mall
36400,308,2019-01-03,2,Camiseta Listrado,1,197,197,Shopping Midway Mall
36401,308,2019-01-03,2,Polo Estampa,3,138,414,Shopping Midway Mall
36402,388,2019-01-03,2,Tênis Listrado,5,262,1310,Shopping Midway Mall
36403,388,2019-01-03,2,Short Xadrez,2,100,200,Shopping Midway Mall
36404,432,2019-01-04,2,Terno Estampa,1,706,706,Shopping Midway Mall
36405,432,2019-01-04,2,Polo Xadrez,1,142,142,Shopping Midway Mall
36406,446,2019-01-04,2,Sapato Xadrez,4,368,1472,Shopping Midway Mall
36407,515,2019-01-04,2,Terno Estampa,5,706,3530,Shopping Midway Mall
36408,515,2019-01-04,2,Tênis Linho,1,294,294,Shopping Midway Mall
36409,529,2019-01-04,2,Sapato Liso,2,368,736,Shopping Midway Mall
36410,529,2019-01-04,2,Terno Xadrez,2,709,1418,Shopping Midway Mall
36411,529,2019-01-04,2,Mochila Listrado,1,275,275,Shopping Midway Mall
36412,541,2019-01-04,2,Camisa,1,100,100,Shopping Midway Mall
36413,541,2019-01-04,2,Meia,5,30,150,Shopping Midway Mall
36414,541,2019-01-04,2,Polo Linho,5,176,880,Shopping Midway Mall
36415,541,2019-01-04,2,Polo Listrado,2,149,298,Shopping Midway Mall
36416,541,2019-01-04,2,Chinelo Estampa,1,74,74,Shopping Midway Mall
36417,541,2019-01-04,2,Sunga Listrado,1,114,114,Shopping Midway Mall
36418,642,2019-01-05,2,Gorro Liso,5,92,460,Shopping Midway Mall
36419,642,2019-01-05,2,Terno Estampa,2,706,1412,Shopping Midway Mall
36420,733,2019-01-05,2,Relógio,4,200,800,Shopping Midway Mall
36421,872,2019-01-06,2,Camisa,2,100,200,Shopping Midway Mall
36422,872,2019-01-06,2,Polo Xadrez,2,142,284,Shopping Midway Mall
36423,872,2019-01-06,2,Relógio Liso,1,216,216,Shopping Midway Mall
36424,977,2019-01-07,2,Polo Liso,2,137,274,Shopping Midway Mall
36425,977,2019-01-07,2,Camiseta Listrado,4,197,788,Shopping Midway Mall
36426,982,2019-01-07,2,Cueca Liso,2,69,138,Shopping Midway Mall
36427,1001,2019-01-07,2,Sapato Linho,2,391,782,Shopping Midway Mall
36428,1027,2019-01-07,2,Gorro Xadrez,4,85,340,Shopping Midway Mall
36429,1027,2019-01-07,2,Chinelo Estampa,2,74,148,Shopping Midway Mall
36430,1028,2019-01-07,2,Cueca,2,50,100,Shopping Midway Mall
36431,1028,2019-01-07,2,Cinto,2,200,400,Shopping Midway Mall
36432,1032,2019-01-07,2,Pulseira Estampa,2,87,174,Shopping Midway Mall
36433,1036,2019-01-07,2,Cueca Estampa,2,66,132,Shopping Midway Mall
36434,1036,2019-01-07,2,Casaco Linho,1,299,299,Shopping Midway Mall
36435,1051,2019-01-07,2,Sapato Listrado,1,363,363,Shopping Midway Mall
36436,1051,2019-01-07,2,Gorro Listrado,1,97,97,Shopping Midway Mall
36437,1088,2019-01-07,2,Relógio Listrado,3,218,654,Shopping Midway Mall
36438,1163,2019-01-08,2,Chinelo Estampa,4,74,296,Shopping Midway Mall
36439,1163,2019-01-08,2,Cinto Listrado,5,214,1070,Shopping Midway Mall
36440,1193,2019-01-08,2,Cueca Linho,1,93,93,Shopping Midway Mall
36441,1204,2019-01-08,2,Pulseira,1,70,70,Shopping Midway Mall
36442,1204,2019-01-08,2,Camisa Gola V Xadrez,1,107,107,Shopping Midway Mall
36443,1208,2019-01-08,2,Relógio Xadrez,1,214,214,Shopping Midway Mall
36444,1208,2019-01-08,2,Calça,1,170,170,Shopping Midway Mall
36445,1208,2019-01-08,2,Sapato Linho,2,391,782,Shopping Midway Mall
36446,1208,2019-01-08,2,Sunga Estampa,2,120,240,Shopping Midway Mall
36447,1328,2019-01-09,2,Cueca Liso,1,69,69,Shopping Midway Mall
36448,1328,2019-01-09,2,Terno Estampa,2,706,1412,Shopping Midway Mall
36449,1376,2019-01-09,2,Meia Xadrez,1,41,41,Shopping Midway Mall
36450,1381,2019-01-09,2,Sapato Listrado,4,363,1452,Shopping Midway Mall
36451,1381,2019-01-09,2,Terno Estampa,1,706,706,Shopping Midway Mall
36452,1384,2019-01-09,2,Calça Xadrez,2,185,370,Shopping Midway Mall
36453,1384,2019-01-09,2,Tênis Liso,2,266,532,Shopping Midway Mall
36454,1384,2019-01-09,2,Sapato Xadrez,3,368,1104,Shopping Midway Mall
36455,1470,2019-01-09,2,Calça,2,170,340,Shopping Midway Mall
36456,1470,2019-01-09,2,Mochila Liso,1,276,276,Shopping Midway Mall
36457,1548,2019-01-10,2,Chinelo Estampa,2,74,148,Shopping Midway Mall
36458,1553,2019-01-10,2,Casaco Liso,2,255,510,Shopping Midway Mall
36459,1553,2019-01-10,2,Terno Estampa,2,706,1412,Shopping Midway Mall
36460,1553,2019-01-10,2,Gorro Liso,3,92,276,Shopping Midway Mall
36461,1553,2019-01-10,2,Camisa Gola V,3,100,300,Shopping Midway Mall
36462,1557,2019-01-10,2,Casaco Xadrez,3,259,777,Shopping Midway Mall
36463,1557,2019-01-10,2,Tênis Linho,1,294,294,Shopping Midway Mall
36464,1557,2019-01-10,2,Sunga Listrado,1,114,114,Shopping Midway Mall
36465,1557,2019-01-10,2,Terno Xadrez,1,709,709,Shopping Midway Mall
