,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
93009,72,2019-01-02,12,Gorro Estampa,2,93,186,Shopping Morumbi
93010,72,2019-01-02,12,Sapato Xadrez,4,368,1472,Shopping Morumbi
93011,75,2019-01-02,12,Sapato Xadrez,2,368,736,Shopping Morumbi
93012,75,2019-01-02,12,Cueca,2,50,100,Shopping Morumbi
93013,88,2019-01-02,12,Gorro Listrado,1,97,97,Shopping Morumbi
93014,88,2019-01-02,12,Meia Liso,3,38,114,Shopping Morumbi
93015,95,2019-01-02,12,Sunga Listrado,2,114,228,Shopping Morumbi
93016,153,2019-01-02,12,Tênis Estampa,1,256,256,Shopping Morumbi
93017,153,2019-01-02,12,Chinelo Linho,2,105,210,Shopping Morumbi
93018,153,2019-01-02,12,Mochila Liso,1,276,276,Shopping Morumbi
93019,178,2019-01-02,12,Chinelo Estampa,5,74,370,Shopping Morumbi
93020,178,2019-01-02,12,Terno Liso,2,720,1440,Shopping Morumbi
93021,178,2019-01-02,12,Camisa Liso,2,105,210,Shopping Morumbi
93022,178,2019-01-02,12,Meia Xadrez,3,41,123,Shopping Morumbi
93023,178,2019-01-02,12,Sunga,1,100,100,Shopping Morumbi
93024,209,2019-01-03,12,Pulseira,2,70,140,Shopping Morumbi
93025,209,2019-01-03,12,Camisa Gola V Estampa,1,118,118,Shopping Morumbi
93026,211,2019-01-03,12,Polo Liso,1,137,137,Shopping Morumbi
93027,211,2019-01-03,12,Tênis,2,250,500,Shopping Morumbi
93028,211,2019-01-03,12,Cinto Liso,2,209,418,Shopping Morumbi
93029,213,2019-01-03,12,Mochila Linho,2,311,622,Shopping Morumbi
93030,232,2019-01-03,12,Cinto Liso,3,209,627,Shopping Morumbi
93031,232,2019-01-03,12,Camisa Gola V,4,100,400,Shopping Morumbi
93032,232,2019-01-03,12,Calça Listrado,1,181,181,Shopping Morumbi
93033,236,2019-01-03,12,Pulseira Xadrez,3,87,261,Shopping Morumbi
93034,362,2019-01-03,12,Mochila Listrado,2,275,550,Shopping Morumbi
93035,371,2019-01-03,12,Sunga,2,100,200,Shopping Morumbi
93036,371,2019-01-03,12,Tênis,2,250,500,Shopping Morumbi
93037,381,2019-01-03,12,Camiseta Linho,2,223,446,Shopping Morumbi
93038,381,2019-01-03,12,Sunga Linho,1,149,149,Shopping Morumbi
93039,381,2019-01-03,12,Meia Listrado,2,37,74,Shopping Morumbi
93040,383,2019-01-03,12,Short,2,90,180,Shopping Morumbi
93041,412,2019-01-04,12,Terno Liso,1,720,720,Shopping Morumbi
93042,523,2019-01-04,12,Casaco Liso,4,255,1020,Shopping Morumbi
93043,523,2019-01-04,12,Sunga Liso,1,114,114,Shopping Morumbi
93044,575,2019-01-05,12,Chinelo Liso,1,71,71,Shopping Morumbi
93045,575,2019-01-05,12,Short,1,90,90,Shopping Morumbi
93046,575,2019-01-05,12,Terno Linho,2,750,1500,Shopping Morumbi
93047,575,2019-01-05,12,Camisa Gola V Estampa,4,118,472,Shopping Morumbi
93048,594,2019-01-05,12,Polo Estampa,3,138,414,Shopping Morumbi
93049,594,2019-01-05,12,Meia Xadrez,3,41,123,Shopping Morumbi
93050,599,2019-01-05,12,Calça Estampa,1,177,177,Shopping Morumbi
93051,606,2019-01-05,12,Meia Xadrez,2,41,82,Shopping Morumbi
93052,606,2019-01-05,12,Gorro Linho,5,124,620,Shopping Morumbi
93053,606,2019-01-05,12,Short Xadrez,1,100,100,Shopping Morumbi
93054,615,2019-01-05,12,Tênis Linho,2,294,588,Shopping Morumbi
