,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
32491,11,2019-01-02,18,Camiseta,1,180,180,Shopping Recife
32492,11,2019-01-02,18,Calça Listrado,2,181,362,Shopping Recife
32493,11,2019-01-02,18,Camisa Estampa,1,113,113,Shopping Recife
32494,45,2019-01-02,18,Camisa Linho,1,141,141,Shopping Recife
32495,96,2019-01-02,18,Meia Xadrez,1,41,41,Shopping Recife
32496,105,2019-01-02,18,Calça Liso,2,190,380,Shopping Recife
32497,105,2019-01-02,18,Pulseira Listrado,1,79,79,Shopping Recife
32498,105,2019-01-02,18,Pulseira Listrado,3,79,237,Shopping Recife
32499,142,2019-01-02,18,Short Linho,2,133,266,Shopping Recife
32500,142,2019-01-02,18,Sunga Liso,4,114,456,Shopping Recife
32501,142,2019-01-02,18,Terno Xadrez,2,709,1418,Shopping Recife
32502,142,2019-01-02,18,Gorro Xadrez,1,85,85,Shopping Recife
32503,182,2019-01-02,18,Camisa Liso,2,105,210,Shopping Recife
32504,198,2019-01-02,18,Gorro Linho,1,124,124,Shopping Recife
32505,198,2019-01-02,18,Chinelo Linho,4,105,420,Shopping Recife
32506,265,2019-01-03,18,Bermuda Linho,1,195,195,Shopping Recife
32507,269,2019-01-03,18,Meia Xadrez,2,41,82,Shopping Recife
32508,269,2019-01-03,18,Cinto Liso,4,209,836,Shopping Recife
32509,275,2019-01-03,18,Bermuda,2,150,300,Shopping Recife
32510,275,2019-01-03,18,Cueca,2,50,100,Shopping Recife
32511,306,2019-01-03,18,Chinelo Xadrez,3,66,198,Shopping Recife
32512,306,2019-01-03,18,Pulseira,1,70,70,Shopping Recife
32513,333,2019-01-03,18,Calça Xadrez,1,185,185,Shopping Recife
32514,333,2019-01-03,18,Polo Estampa,2,138,276,Shopping Recife
32515,333,2019-01-03,18,Chinelo,1,60,60,Shopping Recife
32516,341,2019-01-03,18,Camiseta Estampa,1,196,196,Shopping Recife
32517,341,2019-01-03,18,Gorro Liso,2,92,184,Shopping Recife
32518,390,2019-01-03,18,Pulseira Xadrez,1,87,87,Shopping Recife
32519,423,2019-01-04,18,Cueca Xadrez,1,60,60,Shopping Recife
32520,423,2019-01-04,18,Camiseta Liso,1,187,187,Shopping Recife
32521,482,2019-01-04,18,Cinto,1,200,200,Shopping Recife
32522,559,2019-01-04,18,Mochila Xadrez,2,283,566,Shopping Recife
32523,601,2019-01-05,18,Terno,4,700,2800,Shopping Recife
32524,601,2019-01-05,18,Sunga Linho,1,149,149,Shopping Recife
32525,601,2019-01-05,18,Cueca Listrado,3,67,201,Shopping Recife
32526,601,2019-01-05,18,Bermuda Linho,3,195,585,Shopping Recife
32527,608,2019-01-05,18,Terno Liso,1,720,720,Shopping Recife
32528,640,2019-01-05,18,Camisa Estampa,1,113,113,Shopping Recife
32529,721,2019-01-05,18,Sunga,1,100,100,Shopping Recife
32530,721,2019-01-05,18,Camisa Gola V Listrado,3,116,348,Shopping Recife
32531,747,2019-01-05,18,Cinto Liso,5,209,1045,Shopping Recife
32532,747,2019-01-05,18,Chinelo,5,60,300,Shopping Recife
32533,747,2019-01-05,18,Chinelo Linho,1,105,105,Shopping Recife
32534,770,2019-01-06,18,Meia Linho,4,78,312,Shopping Recife
32535,832,2019-01-06,18,Relógio Estampa,2,219,438,Shopping Recife
32536,832,2019-01-06,18,Calça Liso,2,190,380,Shopping Recife
32537,895,2019-01-06,18,Short,2,90,180,Shopping Recife
32538,895,2019-01-06,18,Mochila Liso,2,276,552,Shopping Recife
32539,896,2019-01-06,18,Sapato Xadrez,3,368,1104,Shopping Recife
32540,914,2019-01-06,18,Short Linho,1,133,133,Shopping Recife
32541,914,2019-01-06,18,Meia Liso,1,38,38,Shopping Recife
32542,914,2019-01-06,18,Camisa Gola V Xadrez,2,107,214,Shopping Recife
32543,928,2019-01-06,18,Relógio Estampa,1,219,219,Shopping Recife
32544,928,2019-01-06,18,Sapato Linho,1,391,391,Shopping Recife
32545,933,2019-01-06,18,Meia Xadrez,1,41,41,Shopping Recife
32546,933,2019-01-06,18,Relógio Estampa,1,219,219,Shopping Recife
32547,991,2019-01-07,18,Relógio Xadrez,4,214,856,Shopping Recife
32548,1005,2019-01-07,18,Gorro Xadrez,1,85,85,Shopping Recife
32549,1005,2019-01-07,18,Camisa Gola V Xadrez,3,107,321,Shopping Recife
32550,1122,2019-01-07,18,Camisa Gola V Liso,1,118,118,Shopping Recife
32551,1124,2019-01-07,18,Camiseta Liso,2,187,374,Shopping Recife
32552,1124,2019-01-07,18,Terno Linho,3,750,2250,Shopping Recife
32553,1124,2019-01-07,18,Camisa Liso,1,105,105,Shopping Recife
32554,1124,2019-01-08,18,Relógio Xadrez,3,214,642,Shopping Recife
32555,1150,2019-01-08,18,Cueca Liso,2,69,138,Shopping Recife
32556,1220,2019-01-08,18,Cinto,2,200,400,Shopping Recife
32557,1220,2019-01-08,18,Calça Estampa,1,177,177,Shopping Recife
32558,1223,2019-01-08,18,Bermuda,2,150,300,Shopping Recife
32559,1223,2019-01-08,18,Sapato Liso,5,368,1840,Shopping Recife
32560,1234,2019-01-08,18,Calça Listrado,1,181,181,Shopping Recife
32561,1321,2019-01-08,18,Sapato Linho,1,391,391,Shopping Recife
32562,1321,2019-01-08,18,Cinto Linho,1,248,248,Shopping Recife
32563,1416,2019-01-09,18,Bermuda Estampa,1,169,169,Shopping Recife
