,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
80860,56,2019-01-02,20,Gorro Linho,3,124,372,Shopping SP Market
80861,60,2019-01-02,20,Casaco Linho,3,299,897,Shopping SP Market
80862,60,2019-01-02,20,Polo Liso,5,137,685,Shopping SP Market
80863,67,2019-01-02,20,Polo Linho,3,176,528,Shopping SP Market
80864,101,2019-01-02,20,Cinto Listrado,2,214,428,Shopping SP Market
80865,101,2019-01-02,20,Camisa Listrado,2,108,216,Shopping SP Market
80866,219,2019-01-03,20,Calça Estampa,3,177,531,Shopping SP Market
80867,219,2019-01-03,20,Camiseta Xadrez,2,200,400,Shopping SP Market
80868,219,2019-01-03,20,Casaco Estampa,3,256,768,Shopping SP Market
80869,219,2019-01-03,20,Sapato Xadrez,2,368,736,Shopping SP Market
80870,223,2019-01-03,20,Camisa Gola V,1,100,100,Shopping SP Market
80871,261,2019-01-03,20,Short Listrado,2,102,204,Shopping SP Market
80872,261,2019-01-03,20,Terno Listrado,2,709,1418,Shopping SP Market
80873,299,2019-01-03,20,Terno Estampa,3,706,2118,Shopping SP Market
80874,303,2019-01-03,20,Terno Estampa,4,706,2824,Shopping SP Market
80875,356,2019-01-03,20,Sapato Xadrez,2,368,736,Shopping SP Market
80876,356,2019-01-03,20,Cueca Liso,1,69,69,Shopping SP Market
80877,378,2019-01-03,20,Chinelo Linho,5,105,525,Shopping SP Market
80878,384,2019-01-03,20,Cinto,3,200,600,Shopping SP Market
80879,384,2019-01-03,20,Sapato Estampa,2,358,716,Shopping SP Market
80880,405,2019-01-04,20,Cinto Estampa,2,209,418,Shopping SP Market
80881,502,2019-01-04,20,Camiseta,3,180,540,Shopping SP Market
80882,502,2019-01-04,20,Calça Linho,4,211,844,Shopping SP Market
80883,502,2019-01-04,20,Terno Liso,4,720,2880,Shopping SP Market
80884,502,2019-01-04,20,Terno Listrado,4,709,2836,Shopping SP Market
80885,557,2019-01-04,20,Sapato Xadrez,1,368,368,Shopping SP Market
80886,557,2019-01-04,20,Camisa Gola V Estampa,1,118,118,Shopping SP Market
80887,557,2019-01-04,20,Polo,1,130,130,Shopping SP Market
80888,578,2019-01-05,20,Casaco Xadrez,1,259,259,Shopping SP Market
80889,598,2019-01-05,20,Sunga,1,100,100,Shopping SP Market
80890,598,2019-01-05,20,Cinto Listrado,3,214,642,Shopping SP Market
80891,598,2019-01-05,20,Polo Listrado,3,149,447,Shopping SP Market
80892,628,2019-01-05,20,Camisa Estampa,1,113,113,Shopping SP Market
80893,628,2019-01-05,20,Meia Linho,1,78,78,Shopping SP Market
80894,628,2019-01-05,20,Mochila,2,270,540,Shopping SP Market
80895,637,2019-01-05,20,Camisa Linho,2,141,282,Shopping SP Market
80896,637,2019-01-05,20,Meia Listrado,2,37,74,Shopping SP Market
80897,657,2019-01-05,20,Sunga Linho,3,149,447,Shopping SP Market
80898,657,2019-01-05,20,Gorro,5,80,400,Shopping SP Market
80899,657,2019-01-05,20,Camisa Gola V Listrado,3,116,348,Shopping SP Market
80900,681,2019-01-05,20,Mochila Liso,1,276,276,Shopping SP Market
80901,691,2019-01-05,20,Cinto,1,200,200,Shopping SP Market
80902,724,2019-01-05,20,Calça,2,170,340,Shopping SP Market
80903,724,2019-01-05,20,Camisa,1,100,100,Shopping SP Market
80904,751,2019-01-06,20,Terno Listrado,2,709,1418,Shopping SP Market
80905,751,2019-01-06,20,Relógio Estampa,1,219,219,Shopping SP Market
80906,751,2019-01-06,20,Sapato Xadrez,4,368,1472,Shopping SP Market
80907,751,2019-01-06,20,Cinto Linho,2,248,496,Shopping SP Market
80908,751,2019-01-06,20,Relógio Xadrez,2,214,428,Shopping SP Market
80909,805,2019-01-06,20,Relógio Liso,2,216,432,Shopping SP Market
80910,821,2019-01-06,20,Short,5,90,450,Shopping SP Market
80911,821,2019-01-06,20,Pulseira,1,70,70,Shopping SP Market
80912,834,2019-01-06,20,Gorro Estampa,1,93,93,Shopping SP Market
80913,834,2019-01-06,20,Cinto Liso,2,209,418,Shopping SP Market
80914,834,2019-01-06,20,Polo Estampa,5,138,690,Shopping SP Market
80915,834,2019-01-06,20,Sunga Listrado,2,114,228,Shopping SP Market
80916,834,2019-01-06,20,Pulseira Listrado,1,79,79,Shopping SP Market
80917,850,2019-01-06,20,Camisa Gola V Xadrez,3,107,321,Shopping SP Market
80918,850,2019-01-06,20,Casaco Liso,1,255,255,Shopping SP Market
80919,915,2019-01-06,20,Short Linho,5,133,665,Shopping SP Market
80920,917,2019-01-06,20,Sapato Estampa,1,358,358,Shopping SP Market
80921,917,2019-01-06,20,Chinelo,1,60,60,Shopping SP Market
80922,920,2019-01-06,20,Chinelo Xadrez,2,66,132,Shopping SP Market
80923,923,2019-01-06,20,Sunga,1,100,100,Shopping SP Market
80924,923,2019-01-06,20,Tênis Linho,2,294,588,Shopping SP Market
80925,949,2019-01-07,20,Mochila Xadrez,2,283,566,Shopping SP Market
80926,969,2019-01-07,20,Polo Xadrez,3,142,426,Shopping SP Market
80927,969,2019-01-07,20,Gorro Liso,5,92,460,Shopping SP Market
80928,1030,2019-01-07,20,Tênis Listrado,1,262,262,Shopping SP Market
80929,1030,2019-01-07,20,Camisa Gola V Xadrez,3,107,321,Shopping SP Market
80930,1052,2019-01-07,20,Relógio Estampa,2,219,438,Shopping SP Market
80931,1052,2019-01-07,20,Sunga,1,100,100,Shopping SP Market
80932,1169,2019-01-08,20,Sapato Linho,2,391,782,Shopping SP Market
80933,1169,2019-01-08,20,Meia Liso,3,38,114,Shopping SP Market
80934,1187,2019-01-08,20,Cinto Liso,1,209,209,Shopping SP Market
80935,1194,2019-01-08,20,Bermuda Estampa,4,169,676,Shopping SP Market
80936,1273,2019-01-08,20,Sapato Estampa,2,358,716,Shopping SP Market
80937,1277,2019-01-08,20,Cinto,4,200,800,Shopping SP Market
80938,1277,2019-01-08,20,Sapato Listrado,1,363,363,Shopping SP Market
80939,1277,2019-01-08,20,Relógio Listrado,2,218,436,Shopping SP Market
80940,1283,2019-01-08,20,Calça Linho,3,211,633,Shopping SP Market
80941,1283,2019-01-08,20,Camisa,2,100,200,Shopping SP Market
80942,1283,2019-01-08,20,Chinelo Estampa,1,74,74,Shopping SP Market
80943,1354,2019-01-09,20,Tênis Xadrez,1,259,259,Shopping SP Market
80944,1368,2019-01-09,20,Tênis Liso,1,266,266,Shopping SP Market
80945,1368,2019-01-09,20,Cueca Listrado,1,67,67,Shopping SP Market
80946,1375,2019-01-09,20,Relógio Linho,4,240,960,Shopping SP Market
80947,1375,2019-01-09,20,Cueca Listrado,4,67,268,Shopping SP Market
80948,1415,2019-01-09,20,Camisa Gola V Liso,2,118,236,Shopping SP Market
80949,1431,2019-01-09,20,Camiseta Liso,2,187,374,Shopping SP Market
80950,1436,2019-01-09,20,Bermuda Xadrez,2,155,310,Shopping SP Market
80951,1436,2019-01-09,20,Cueca Liso,1,69,69,Shopping SP Market
80952,1436,2019-01-09,20,Mochila Linho,1,311,311,Shopping SP Market
80953,1490,2019-01-09,20,Casaco,2,250,500,Shopping SP Market
80954,1491,2019-01-09,20,Camiseta Estampa,2,196,392,Shopping SP Market
80955,1491,2019-01-09,20,Gorro Liso,2,92,184,Shopping SP Market
80956,1513,2019-01-10,20,Pulseira Xadrez,4,87,348,Shopping SP Market
80957,1513,2019-01-10,20,Casaco Liso,3,255,765,Shopping SP Market
80958,1515,2019-01-10,20,Gorro Liso,1,92,92,Shopping SP Market
80959,1515,2019-01-10,20,Terno Linho,1,750,750,Shopping SP Market
80960,1515,2019-01-10,20,Camisa Gola V Xadrez,1,107,107,Shopping SP Market
80961,1528,2019-01-10,20,Chinelo Linho,2,105,210,Shopping SP Market
80962,1528,2019-01-10,20,Cueca Estampa,2,66,132,Shopping SP Market
80963,1563,2019-01-10,20,Camisa Linho,2,141,282,Shopping SP Market
80964,1563,2019-01-10,20,Cueca Linho,3,93,279,Shopping SP Market
