,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
56271,26,2019-01-02,5,Chinelo,2,60,120,Shopping União de Osasco
56272,42,2019-01-02,5,Chinelo,2,60,120,Shopping União de Osasco
56273,54,2019-01-02,5,Cueca Xadrez,1,60,60,Shopping União de Osasco
56274,54,2019-01-02,5,Cueca Linho,2,93,186,Shopping União de Osasco
56275,54,2019-01-02,5,Meia Liso,5,38,190,Shopping União de Osasco
56276,107,2019-01-02,5,Sunga Estampa,2,120,240,Shopping União de Osasco
56277,107,2019-01-02,5,Mochila Linho,2,311,622,Shopping União de Osasco
56278,107,2019-01-02,5,Casaco Xadrez,2,259,518,Shopping União de Osasco
56279,128,2019-01-02,5,Pulseira Liso,3,87,261,Shopping União de Osasco
56280,155,2019-01-02,5,Short Listrado,1,102,102,Shopping União de Osasco
56281,155,2019-01-02,5,Camisa Linho,1,141,141,Shopping União de Osasco
56282,212,2019-01-03,5,Gorro Liso,4,92,368,Shopping União de Osasco
56283,212,2019-01-03,5,Mochila Xadrez,3,283,849,Shopping União de Osasco
56284,212,2019-01-03,5,Cueca Xadrez,3,60,180,Shopping União de Osasco
56285,212,2019-01-03,5,Polo Liso,1,137,137,Shopping União de Osasco
56286,227,2019-01-03,5,Bermuda Listrado,2,163,326,Shopping União de Osasco
56287,255,2019-01-03,5,Camisa Gola V Listrado,3,116,348,Shopping União de Osasco
56288,271,2019-01-03,5,Polo Liso,2,137,274,Shopping União de Osasco
56289,271,2019-01-03,5,Short Listrado,3,102,306,Shopping União de Osasco
56290,287,2019-01-03,5,Pulseira Estampa,2,87,174,Shopping União de Osasco
56291,300,2019-01-03,5,Mochila Xadrez,2,283,566,Shopping União de Osasco
56292,300,2019-01-03,5,Relógio Xadrez,1,214,214,Shopping União de Osasco
56293,300,2019-01-03,5,Camiseta Xadrez,1,200,200,Shopping União de Osasco
56294,328,2019-01-03,5,Gorro Xadrez,5,85,425,Shopping União de Osasco
56295,328,2019-01-03,5,Short Xadrez,2,100,200,Shopping União de Osasco
56296,328,2019-01-03,5,Relógio,2,200,400,Shopping União de Osasco
56297,359,2019-01-03,5,Casaco Listrado,1,269,269,Shopping União de Osasco
