,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
64268,32,2019-01-02,19,Polo Liso,1,137,137,Shopping Vila Velha
64269,32,2019-01-02,19,Polo Listrado,2,149,298,Shopping Vila Velha
64270,38,2019-01-02,19,Meia Xadrez,3,41,123,Shopping Vila Velha
64271,38,2019-01-02,19,Relógio,1,200,200,Shopping Vila Velha
64272,82,2019-01-02,19,Meia Listrado,1,37,37,Shopping Vila Velha
64273,133,2019-01-02,19,Relógio Estampa,1,219,219,Shopping Vila Velha
64274,133,2019-01-02,19,Polo,2,130,260,Shopping Vila Velha
64275,133,2019-01-02,19,Polo Estampa,1,138,138,Shopping Vila Velha
64276,133,2019-01-02,19,Pulseira,3,70,210,Shopping Vila Velha
64277,133,2019-01-02,19,Cinto,5,200,1000,Shopping Vila Velha
64278,193,2019-01-02,19,Pulseira Linho,1,114,114,Shopping Vila Velha
64279,224,2019-01-03,19,Camiseta Listrado,3,197,591,Shopping Vila Velha
64280,258,2019-01-03,19,Meia Linho,4,78,312,Shopping Vila Velha
64281,258,2019-01-03,19,Sunga,2,100,200,Shopping Vila Velha
64282,290,2019-01-03,19,Calça Liso,5,190,950,Shopping Vila Velha
64283,304,2019-01-03,19,Sunga Listrado,2,114,228,Shopping Vila Velha
64284,304,2019-01-03,19,Polo Linho,1,176,176,Shopping Vila Velha
64285,319,2019-01-03,19,Camisa Gola V Xadrez,1,107,107,Shopping Vila Velha
64286,319,2019-01-03,19,Polo Estampa,5,138,690,Shopping Vila Velha
64287,339,2019-01-03,19,Camiseta Estampa,2,196,392,Shopping Vila Velha
64288,350,2019-01-03,19,Relógio Listrado,1,218,218,Shopping Vila Velha
64289,375,2019-01-03,19,Cinto Listrado,1,214,214,Shopping Vila Velha
64290,375,2019-01-03,19,Mochila Xadrez,2,283,566,Shopping Vila Velha
64291,445,2019-01-04,19,Camisa Gola V Xadrez,5,107,535,Shopping Vila Velha
64292,451,2019-01-04,19,Short Estampa,2,96,192,Shopping Vila Velha
64293,451,2019-01-04,19,Mochila Linho,1,311,311,Shopping Vila Velha
64294,452,2019-01-04,19,Tênis Listrado,2,262,524,Shopping Vila Velha
64295,452,2019-01-04,19,Short,1,90,90,Shopping Vila Velha
64296,452,2019-01-04,19,Cueca Linho,1,93,93,Shopping Vila Velha
64297,524,2019-01-04,19,Sunga,2,100,200,Shopping Vila Velha
64298,524,2019-01-04,19,Cueca Listrado,1,67,67,Shopping Vila Velha
64299,537,2019-01-04,19,Gorro Xadrez,2,85,170,Shopping Vila Velha
64300,593,2019-01-05,19,Casaco Linho,3,299,897,Shopping Vila Velha
64301,641,2019-01-05,19,Sunga Linho,2,149,298,Shopping Vila Velha
64302,667,2019-01-05,19,Tênis Xadrez,2,259,518,Shopping Vila Velha
64303,667,2019-01-05,19,Tênis Linho,3,294,882,Shopping Vila Velha
64304,667,2019-01-05,19,Bermuda Liso,2,157,314,Shopping Vila Velha
64305,667,2019-01-05,19,Meia Liso,3,38,114,Shopping Vila Velha
64306,780,2019-01-06,19,Tênis Linho,2,294,588,Shopping Vila Velha
64307,780,2019-01-06,19,Cinto Listrado,1,214,214,Shopping Vila Velha
64308,782,2019-01-06,19,Camisa Xadrez,1,105,105,Shopping Vila Velha
64309,802,2019-01-06,19,Sapato Linho,2,391,782,Shopping Vila Velha
64310,802,2019-01-06,19,Tênis,2,250,500,Shopping Vila Velha
64311,802,2019-01-06,19,Sunga Linho,2,149,298,Shopping Vila Velha
64312,802,2019-01-06,19,Sunga Listrado,3,114,342,Shopping Vila Velha
64313,838,2019-01-06,19,Camisa Liso,3,105,315,Shopping Vila Velha
64314,842,2019-01-06,19,Camisa Estampa,1,113,113,Shopping Vila Velha
64315,842,2019-01-06,19,Camiseta Xadrez,2,200,400,Shopping Vila Velha
64316,869,2019-01-06,19,Calça Listrado,2,181,362,Shopping Vila Velha
64317,892,2019-01-06,19,Sapato,2,350,700,Shopping Vila Velha
64318,989,2019-01-07,19,Sapato Liso,2,368,736,Shopping Vila Velha
64319,1003,2019-01-07,19,Casaco Linho,3,299,897,Shopping Vila Velha
64320,1003,2019-01-07,19,Cinto Estampa,1,209,209,Shopping Vila Velha
64321,1053,2019-01-07,19,Relógio Listrado,2,218,436,Shopping Vila Velha
64322,1084,2019-01-07,19,Relógio Listrado,2,218,436,Shopping Vila Velha
64323,1094,2019-01-07,19,Terno Liso,1,720,720,Shopping Vila Velha
64324,1094,2019-01-07,19,Casaco Estampa,2,256,512,Shopping Vila Velha
64325,1094,2019-01-07,19,Tênis Estampa,3,256,768,Shopping Vila Velha
64326,1146,2019-01-08,19,Tênis Estampa,1,256,256,Shopping Vila Velha
64327,1285,2019-01-08,19,Camisa Estampa,1,113,113,Shopping Vila Velha
64328,1285,2019-01-08,19,Calça Xadrez,1,185,185,Shopping Vila Velha
64329,1287,2019-01-08,19,Cueca Liso,3,69,207,Shopping Vila Velha
64330,1291,2019-01-08,19,Camiseta Estampa,2,196,392,Shopping Vila Velha
64331,1307,2019-01-08,19,Pulseira Linho,2,114,228,Shopping Vila Velha
64332,1307,2019-01-08,19,Calça Xadrez,1,185,185,Shopping Vila Velha
64333,1309,2019-01-08,19,Meia Liso,1,38,38,Shopping Vila Velha
64334,1309,2019-01-08,19,Short Xadrez,5,100,500,Shopping Vila Velha
64335,1309,2019-01-08,19,Bermuda Listrado,2,163,326,Shopping Vila Velha
64336,1337,2019-01-09,19,Chinelo Listrado,1,73,73,Shopping Vila Velha
64337,1342,2019-01-09,19,Camiseta Liso,1,187,187,Shopping Vila Velha
64338,1342,2019-01-09,19,Camisa Gola V Xadrez,1,107,107,Shopping Vila Velha
64339,1390,2019-01-09,19,Chinelo Liso,1,71,71,Shopping Vila Velha
64340,1390,2019-01-09,19,Mochila Xadrez,1,283,283,Shopping Vila Velha
64341,1473,2019-01-09,19,Pulseira Xadrez,5,87,435,Shopping Vila Velha
64342,1517,2019-01-10,19,Cueca,2,50,100,Shopping Vila Velha
64343,1517,2019-01-10,19,Pulseira Linho,1,114,114,Shopping Vila Velha
64344,1591,2019-01-10,19,Casaco Xadrez,2,259,518,Shopping Vila Velha
64345,1591,2019-01-10,19,Sunga Xadrez,1,116,116,Shopping Vila Velha
